"","48hhc1","48hhc2","48hhc3","48hhc4","48hhc5","48hhc6"
"ASV_610",0,0,0,0,0,7
"ASV_646",0,0,0,0,0,1
"ASV_824",0,0,0,0,0,1
"ASV_872",0,0,0,0,0,1
"ASV_916",0,0,0,0,0,40
"ASV_917",0,0,0,0,0,1
"ASV_1000",0,0,0,0,0,1
"ASV_1044",0,0,0,0,0,2
"ASV_1112",0,0,0,0,0,1
"ASV_1208",0,0,0,0,0,9
"ASV_1265",0,0,0,0,0,1
"ASV_1360",0,0,0,0,0,1
"ASV_1405",0,0,0,0,0,1
"ASV_1510",0,0,0,0,0,1
"ASV_1533",0,0,0,0,0,14
"ASV_1585",0,0,0,0,0,1
"ASV_1625",0,0,0,0,0,1
"ASV_1725",0,0,0,0,0,2
"ASV_1862",0,0,0,0,0,10
"ASV_1946",0,0,0,0,0,1
"ASV_1955",0,0,0,0,0,1
"ASV_1962",0,0,0,0,0,1
"ASV_2000",0,0,0,0,0,1
"ASV_2118",0,0,0,0,0,1
"ASV_2186",0,0,0,0,0,2
"ASV_2347",0,0,0,0,0,1
"ASV_2398",0,0,0,0,0,1
"ASV_2477",0,0,0,0,0,4
"ASV_2481",0,0,0,0,0,8
"ASV_2611",0,0,0,0,0,1
"ASV_2618",0,0,0,0,0,7
"ASV_2633",0,0,0,0,0,2
"ASV_2702",0,0,0,0,0,1
"ASV_2742",0,0,0,0,0,3
"ASV_2815",0,0,0,0,0,3
"ASV_2826",0,0,0,0,0,1
"ASV_2940",0,0,0,0,0,2
"ASV_3015",0,0,0,0,0,1
"ASV_3038",0,0,0,0,0,1
"ASV_3047",0,0,0,0,0,1
"ASV_3072",0,0,0,0,0,1
"ASV_3094",0,0,0,0,0,10
"ASV_3171",0,0,0,0,0,4
"ASV_3190",0,0,0,0,0,1
"ASV_3587",0,0,0,0,0,7
"ASV_3708",0,0,0,0,0,1
"ASV_3773",0,0,0,0,0,1
"ASV_3856",0,0,0,0,0,1
"ASV_3868",0,0,0,0,0,1
"ASV_3906",0,0,0,0,0,1
"ASV_3919",0,0,0,0,0,1
"ASV_3953",0,0,0,0,0,2
"ASV_4064",0,0,0,0,0,8
"ASV_4230",0,0,0,0,0,10
"ASV_4255",0,0,0,0,0,1
"ASV_4285",0,0,0,0,0,1
"ASV_4417",0,0,0,0,0,2
"ASV_4503",0,0,0,0,0,1
"ASV_4529",0,0,0,0,0,3
"ASV_4556",0,0,0,0,0,1
"ASV_4639",0,0,0,0,0,1
"ASV_4691",0,0,0,0,0,1
"ASV_4714",0,0,0,0,0,1
"ASV_4844",0,0,0,0,0,4
"ASV_5004",0,0,0,0,0,1
"ASV_5068",0,0,0,0,0,1
"ASV_5072",0,0,0,0,0,2
"ASV_5199",0,0,0,0,0,1
"ASV_5210",0,0,0,0,0,3
"ASV_5462",0,0,0,0,0,6
"ASV_5577",0,0,0,0,0,2
"ASV_5654",0,0,0,0,0,1
"ASV_5676",0,0,0,0,0,1
