"time","value","rank","std","r","Min","Max","Q25","Q50","Q75","funcs","tissue","sign","pathway","foldchange"
"0",110661.671666667,23.8333333333333,34262.5964942627,6,91094.25,179953.88,94112.71,97463.25,103115.465,"Fructose and mannose metabolism ","Foregut","ab","Carbohydrate metabolism",1.23722893377785
"12",108749.391666667,29.6666666666667,19621.0812315462,6,95621.63,147718.61,98035.04,101981.45,106850.5925,"Fructose and mannose metabolism ","Foregut","ab","Carbohydrate metabolism",1.21584910000296
"24",89443.165,15.3333333333333,19152.7057640729,6,52532.74,104920.64,89122.7625,94143.475,101137.97,"Fructose and mannose metabolism ","Foregut","b","Carbohydrate metabolism",1
"3",104249.126666667,21.5,21775.41755236,6,90737.62,148203.75,93655.725,97362.455,98896.8625,"Fructose and mannose metabolism ","Foregut","ab","Carbohydrate metabolism",1.16553485855142
"48",101213.996666667,20.8333333333333,13882.4203964966,6,89563.76,126748.75,91475.92,98038.195,103714.4875,"Fructose and mannose metabolism ","Foregut","ab","Carbohydrate metabolism",1.1316012427184
"6",102560.705,27.1666666666667,16569.6105452225,6,77353.29,127744.2,96933.015,102689.855,108077.185,"Fructose and mannose metabolism ","Foregut","ab","Carbohydrate metabolism",1.14665782455261
"72",114612.105,32,23070.063763401,6,96063.8,155130.76,97832.3875,106401.185,123124.98,"Fructose and mannose metabolism ","Foregut","ab","Carbohydrate metabolism",1.28139590096124
"9",115551.928333333,32.1666666666667,31553.5378075971,6,97498.8899999999,178823.3,99097.27,102521.28,111123.485,"Fructose and mannose metabolism ","Foregut","ab","Carbohydrate metabolism",1.29190339287897
"CK",137243.853333333,45,35296.3329652052,6,105117.22,203733.68,115534.5325,133422.715,137001.9175,"Fructose and mannose metabolism ","Foregut","a","Carbohydrate metabolism",1.53442527814544
"0",66922.6716666667,18.6666666666667,12844.9674708399,6,58498.46,92901.7199999999,61707.15,62613.225,63281.5125,"Galactose metabolism ","Foregut","b","Carbohydrate metabolism",1.04927441802441
"12",75305.425,32.8333333333333,17870.8517673442,6,62857.35,110000.49,64054.8375,69554.605,75621.59,"Galactose metabolism ","Foregut","ab","Carbohydrate metabolism",1.18070683705703
"24",63779.9516666667,18.3333333333333,7173.9622046716,6,53293.53,72166.03,60579.7,62925.625,69409.7875,"Galactose metabolism ","Foregut","b","Carbohydrate metabolism",1
"3",67583.2683333333,16.3333333333333,15966.7556138289,6,59144.34,100049.44,60246.9125,61893.73,62588.73,"Galactose metabolism ","Foregut","b","Carbohydrate metabolism",1.05963185244391
"48",71370.6566666666,29.3333333333333,10487.0741619589,6,60201.71,90128.43,64972.28,69966.74,73481.33,"Galactose metabolism ","Foregut","ab","Carbohydrate metabolism",1.11901396601351
"6",66809.4533333334,23.1666666666667,9150.46629408507,6,60256.02,85066.18,62192.5625,64119.32,65339.0075,"Galactose metabolism ","Foregut","ab","Carbohydrate metabolism",1.04749927818227
"72",79091.76,28.5,21931.1724650717,6,59776.86,111357.61,61070.57,72434.49,94057.0075,"Galactose metabolism ","Foregut","ab","Carbohydrate metabolism",1.2400724355101
"9",80479.6116666667,35.3333333333333,24572.5871524098,6,64587.72,129232.72,66763.465,71667.095,78362.3625,"Galactose metabolism ","Foregut","ab","Carbohydrate metabolism",1.2618324342307
"CK",95190.1883333333,45,24124.8362837615,6,73252.53,140689.62,80307.1025,92534.38,95057.7525,"Galactose metabolism ","Foregut","a","Carbohydrate metabolism",1.49247821369991
"0",104630.468333333,14,5816.33447136395,6,95847.47,112175.28,101808.96,104948.285,108062.8,"Starch and sucrose metabolism ","Foregut","b","Carbohydrate metabolism",1
"12",124647.483333333,29.3333333333333,19921.2210794365,6,105371.33,151011.2,107590.1375,121313.325,139723.315,"Starch and sucrose metabolism ","Foregut","ab","Carbohydrate metabolism",1.19131153017713
"24",113040.633333333,23,9840.87004808349,6,102382.95,125104.4,105321.63,111393.955,121351.7525,"Starch and sucrose metabolism ","Foregut","ab","Carbohydrate metabolism",1.08037969373516
"3",116365.351666667,18.5,28824.1498990186,6,100370.64,174847.03,102717.9125,107193.84,107319.0775,"Starch and sucrose metabolism ","Foregut","ab","Carbohydrate metabolism",1.11215550804903
"48",113492.988333333,22.5,13547.8531100472,6,101470.19,139212.92,106066.6675,109409.035,114730.4125,"Starch and sucrose metabolism ","Foregut","ab","Carbohydrate metabolism",1.08470305199978
"6",121018.643333333,28,24051.9374068125,6,106286.56,169077.26,107693.1825,112335.3,118032.5475,"Starch and sucrose metabolism ","Foregut","ab","Carbohydrate metabolism",1.15662908960505
"72",161232.305,33.1666666666667,68202.3307494454,6,103579.56,263826.39,107926.7275,134637.64,207426.5425,"Starch and sucrose metabolism ","Foregut","ab","Carbohydrate metabolism",1.54096896982573
"9",150881.29,35.5,72432.9249883269,6,109512.62,292946.24,111084.17,115459.07,150578.42,"Starch and sucrose metabolism ","Foregut","ab","Carbohydrate metabolism",1.44203970796843
"CK",180130.281666667,43.5,86873.6798214081,6,115424.54,346922.55,125871.3475,150382.63,187571.9725,"Starch and sucrose metabolism ","Foregut","a","Carbohydrate metabolism",1.72158535210609
"0",17519.475,20.5,964.275057662491,6,16723.72,19428.56,17106.92,17233.115,17383.3925,"Secondary bile acid biosynthesis ","Foregut","b","Lipid metabolism",1.13082834582783
"12",20218.8783333333,36.1666666666667,4934.53214343738,6,17497.91,30191.44,17713.8525,18324.26,19179.8275,"Secondary bile acid biosynthesis ","Foregut","ab","Lipid metabolism",1.30506654681019
"24",15492.6033333333,16.5,4290.0903017287,6,6792.1,17623.83,16525.6975,17336.495,17542.575,"Secondary bile acid biosynthesis ","Foregut","b","Lipid metabolism",1
"3",17726.1783333333,21.3333333333333,1455.32917846674,6,16963.33,20682.47,17042.1075,17172.855,17318.49,"Secondary bile acid biosynthesis ","Foregut","b","Lipid metabolism",1.14417041164375
"48",20903.2,31.1666666666667,7043.75131451132,6,16298.24,34918.4,17215.95,18137.605,20298.365,"Secondary bile acid biosynthesis ","Foregut","ab","Lipid metabolism",1.34923741028246
"6",16407.9633333333,19.1666666666667,2574.58001137791,6,11244.66,18049.99,16834.5475,17306.63,17723.67,"Secondary bile acid biosynthesis ","Foregut","b","Lipid metabolism",1.05908367885664
"72",17374.28,20.6666666666667,812.253333240315,6,16375.04,18422.45,16816.995,17308.295,17960.8525,"Secondary bile acid biosynthesis ","Foregut","b","Lipid metabolism",1.12145645416598
"9",19090.4266666667,36.3333333333333,1948.34456104321,6,16825.05,22494.13,18007.71,18926.48,19483.345,"Secondary bile acid biosynthesis ","Foregut","ab","Lipid metabolism",1.23222845482608
"CK",20025.47,45.6666666666667,975.538046925902,6,18990.69,21461.16,19210.925,19947.85,20616.9525,"Secondary bile acid biosynthesis ","Foregut","a","Lipid metabolism",1.29258263244331
"0",85889.385,22.6666666666667,13326.5737964006,6,76781.22,112188.42,78464.52,80964.36,85346.1225,"Glycerolipid metabolism ","Foregut","ab","Lipid metabolism",1.15365292125507
"12",89457.325,28.5,16202.3409847846,6,79408.94,122084.18,81448.8375,83767.665,86221.62,"Glycerolipid metabolism ","Foregut","ab","Lipid metabolism",1.20157693891875
"24",74449.935,13.6666666666667,14431.5086357799,6,46072.49,84567.95,75195.17,78775.825,83073.3825,"Glycerolipid metabolism ","Foregut","b","Lipid metabolism",1
"3",84603.9683333333,20.6666666666667,12234.2949624626,6,76186.97,109051.22,78211.18,81298.115,82279.92,"Glycerolipid metabolism ","Foregut","ab","Lipid metabolism",1.13638740360664
"48",94501.9083333333,28.6666666666667,26798.2028994158,6,75800.95,147167.89,78381.5325,86392.32,93258.105,"Glycerolipid metabolism ","Foregut","ab","Lipid metabolism",1.26933500121032
"6",83040.4133333333,26.3333333333333,10806.6248917776,6,64554.19,97101.73,80554.995,84583.92,87301.005,"Glycerolipid metabolism ","Foregut","ab","Lipid metabolism",1.11538597492843
"72",93527.39,31.8333333333333,15644.4734399365,6,80393.22,116681.61,80820.9325,87810.32,104435.88,"Glycerolipid metabolism ","Foregut","ab","Lipid metabolism",1.25624542183952
"9",91729.8366666667,32.3333333333333,16470.4497983676,6,81103.39,124362.84,82476.925,85548.51,90659.1575,"Glycerolipid metabolism ","Foregut","ab","Lipid metabolism",1.23210096377743
"CK",102332.813333333,42.8333333333333,18386.3791488783,6,85474.17,137007.69,91217.775,99145.23,103273.26,"Glycerolipid metabolism ","Foregut","a","Lipid metabolism",1.37451850472849
"0",278.65,16.5,145.192261915021,6,78.7,433.63,167.3325,317.5,384.845,"N-Glycan biosynthesis ","Foregut","b","Glycan biosynthesis and metabolism",1
"12",653.86,32.8333333333333,448.35994111874,6,197.08,1274.17,351.175,485.855,1001.9025,"N-Glycan biosynthesis ","Foregut","ab","Glycan biosynthesis and metabolism",2.34652790238651
"24",544.918333333333,31.3333333333333,338.628785629141,6,129,1121.54,408.885,450.55,654.7925,"N-Glycan biosynthesis ","Foregut","ab","Glycan biosynthesis and metabolism",1.95556552425384
"3",300.73,15.8333333333333,155.499623150669,6,154,594.37,211.25,273.295,307.4625,"N-Glycan biosynthesis ","Foregut","b","Glycan biosynthesis and metabolism",1.07923918894671
"48",627.631666666667,32.5,459.269356235169,6,173,1442.25,353.06,492.145,767.7,"N-Glycan biosynthesis ","Foregut","ab","Glycan biosynthesis and metabolism",2.25240145941743
"6",395.171666666667,24.8333333333333,131.192053633849,6,254.91,632.1,323.045,373.265,416.705,"N-Glycan biosynthesis ","Foregut","ab","Glycan biosynthesis and metabolism",1.41816496201926
"72",352.518333333333,18.1666666666667,250.691743255869,6,113.13,836.77,246.855,287.49,339.5625,"N-Glycan biosynthesis ","Foregut","b","Glycan biosynthesis and metabolism",1.26509360607692
"9",479.801666666667,30.3333333333333,236.228403577272,6,207,919,402.25,433.74,478.6175,"N-Glycan biosynthesis ","Foregut","ab","Glycan biosynthesis and metabolism",1.72187929900114
"CK",863.246666666667,45.1666666666667,223.926641261523,6,493.17,1136.79,807.62,851.015,1003.505,"N-Glycan biosynthesis ","Foregut","a","Glycan biosynthesis and metabolism",3.0979604043304
"0",92.2866666666667,14,58.2379493686605,6,25.1,162.29,41.6225,98.785,134.34,"Various types of N-glycan biosynthesis ","Foregut","b","Glycan biosynthesis and metabolism",1
"12",276.318333333333,37.1666666666667,114.704301299762,6,125.31,467.2,225.2,261.97,311.88,"Various types of N-glycan biosynthesis ","Foregut","a","Glycan biosynthesis and metabolism",2.99413060752727
"24",325.263333333333,25.3333333333333,438.386622408425,6,45.53,1178.31,70.2775,135.66,339.8675,"Various types of N-glycan biosynthesis ","Foregut","ab","Glycan biosynthesis and metabolism",3.52448891136314
"3",97.1616666666667,13.1666666666667,43.3643200876788,6,39.28,169.35,81.965,88.64,110.15,"Various types of N-glycan biosynthesis ","Foregut","b","Glycan biosynthesis and metabolism",1.05282453225457
"48",301.231666666667,26.6666666666667,400.56143880392,6,92.04,1113.09,114.735,130.64,206.32,"Various types of N-glycan biosynthesis ","Foregut","ab","Glycan biosynthesis and metabolism",3.26408654193455
"6",1185.01166666667,32.5,2197.83226499582,6,75.74,5626.93,140.485,186.13,728.935,"Various types of N-glycan biosynthesis ","Foregut","ab","Glycan biosynthesis and metabolism",12.8405511811024
"72",901.215,25.6666666666667,1891.10636835425,6,50.74,4759.65,98.6825,147.21,201.7825,"Various types of N-glycan biosynthesis ","Foregut","ab","Glycan biosynthesis and metabolism",9.76538683811312
"9",525.161666666667,29.1666666666667,916.0930095447,6,102.71,2393.45,123.3775,170.715,197.015,"Various types of N-glycan biosynthesis ","Foregut","ab","Glycan biosynthesis and metabolism",5.69054756916853
"CK",452.991666666667,43.8333333333333,250.712638884973,6,233.58,936.5,323.6275,378.7,458.575,"Various types of N-glycan biosynthesis ","Foregut","a","Glycan biosynthesis and metabolism",4.90852777577115
"0",156.703333333333,8.66666666666667,94.6210195816272,6,45.47,276.24,76.8275,160.445,226.61,"Glycosphingolipid biosynthesis - globo and isoglobo series ","Foregut","c","Glycan biosynthesis and metabolism",1
"12",880.386666666667,36,839.810509571455,6,305,2520.4,366.7125,602.14,873.8375,"Glycosphingolipid biosynthesis - globo and isoglobo series ","Foregut","a","Glycan biosynthesis and metabolism",5.61817446980494
"24",614.496666666667,24.1666666666667,752.992584894876,6,176.96,2106.53,221.1925,259.415,572.01,"Glycosphingolipid biosynthesis - globo and isoglobo series ","Foregut","abc","Glycan biosynthesis and metabolism",3.92140137414648
"3",231.028333333333,12.8333333333333,178.078474770722,6,71.11,574.38,146.4875,174.72,234.3025,"Glycosphingolipid biosynthesis - globo and isoglobo series ","Foregut","bc","Glycan biosynthesis and metabolism",1.47430388632448
"48",679.87,32.3333333333333,472.215488267803,6,226.73,1530.99,370.055,593.26,777.81,"Glycosphingolipid biosynthesis - globo and isoglobo series ","Foregut","a","Glycan biosynthesis and metabolism",4.33858033226266
"6",1955.605,30.3333333333333,3468.19531566346,6,180.89,8971.09,238.5625,470.865,1226.81,"Glycosphingolipid biosynthesis - globo and isoglobo series ","Foregut","ab","Glycan biosynthesis and metabolism",12.4796643338793
"72",1618.615,29.3333333333333,2808.61555793419,6,141.08,7283.77,289.5675,336.915,1088.6475,"Glycosphingolipid biosynthesis - globo and isoglobo series ","Foregut","ab","Glycan biosynthesis and metabolism",10.3291676416158
"9",736.76,30.8333333333333,870.703346565293,6,258.54,2502.02,321.6175,404.705,518.6775,"Glycosphingolipid biosynthesis - globo and isoglobo series ","Foregut","ab","Glycan biosynthesis and metabolism",4.70162302439855
"CK",1265.45666666667,43,559.136505610809,6,510.33,1932.21,857.7725,1328.26,1676.6175,"Glycosphingolipid biosynthesis - globo and isoglobo series ","Foregut","a","Glycan biosynthesis and metabolism",8.07549296973049
"0",92.2866666666667,14,58.2379493686605,6,25.1,162.29,41.6225,98.785,134.34,"Glycosphingolipid biosynthesis - ganglio series ","Foregut","b","Glycan biosynthesis and metabolism",1
"12",276.151666666667,37.3333333333333,114.627111699923,6,125.31,467.2,225.2,261.97,311.13,"Glycosphingolipid biosynthesis - ganglio series ","Foregut","a","Glycan biosynthesis and metabolism",2.99232464061258
"24",325.013333333333,25.3333333333333,438.392237279205,6,45.53,1178.31,70.2775,135.41,338.9925,"Glycosphingolipid biosynthesis - ganglio series ","Foregut","ab","Glycan biosynthesis and metabolism",3.52177996099111
"3",97.1616666666667,13.1666666666667,43.3643200876788,6,39.28,169.35,81.965,88.64,110.15,"Glycosphingolipid biosynthesis - ganglio series ","Foregut","b","Glycan biosynthesis and metabolism",1.05282453225457
"48",301.065,26.5,400.666082405287,6,91.04,1113.09,114.735,130.64,206.32,"Glycosphingolipid biosynthesis - ganglio series ","Foregut","ab","Glycan biosynthesis and metabolism",3.26228057501986
"6",1184.95666666667,32.6666666666667,2197.86208385027,6,75.74,5626.93,140.485,185.965,728.8525,"Glycosphingolipid biosynthesis - ganglio series ","Foregut","ab","Glycan biosynthesis and metabolism",12.8399552120205
"72",901.103333333333,25.8333333333333,1891.16177949605,6,50.74,4759.65,98.515,146.875,201.7825,"Glycosphingolipid biosynthesis - ganglio series ","Foregut","ab","Glycan biosynthesis and metabolism",9.76417684028028
"9",524.495,29.1666666666667,916.463306123055,6,98.71,2393.45,123.3775,170.715,197.015,"Glycosphingolipid biosynthesis - ganglio series ","Foregut","ab","Glycan biosynthesis and metabolism",5.68332370150979
"CK",444.158333333333,43.5,238.138606648873,6,230.58,902.67,323.6275,376.7,448.4475,"Glycosphingolipid biosynthesis - ganglio series ","Foregut","a","Glycan biosynthesis and metabolism",4.81281152929278
"0",570.256666666667,15.5,343.590485355265,6,149.6,958.2,279.3575,621.725,834.2225,"Other glycan degradation ","Foregut","b","Glycan biosynthesis and metabolism",1.02476294304044
"12",1108.00333333333,28.5,632.85252903553,6,554.2,2200.63,659.805,892.475,1367.6125,"Other glycan degradation ","Foregut","ab","Glycan biosynthesis and metabolism",1.99110474832727
"24",1586.77666666667,31.6666666666667,1120.16689548775,6,404.61,3260.34,794.7575,1284.215,2312.81,"Other glycan degradation ","Foregut","ab","Glycan biosynthesis and metabolism",2.8514702623051
"3",556.476666666667,11.8333333333333,299.411357878532,6,289.14,1142.87,430.82,473.985,525.3325,"Other glycan degradation ","Foregut","b","Glycan biosynthesis and metabolism",1
"48",1453.05666666667,25.5,1700.98580619201,6,537.12,4874.52,617.635,678.9,1183.49,"Other glycan degradation ","Foregut","ab","Glycan biosynthesis and metabolism",2.61117267570368
"6",2990.755,31.8333333333333,4547.48147098039,6,514.75,12180.49,755.0625,1115.46,2066.445,"Other glycan degradation ","Foregut","ab","Glycan biosynthesis and metabolism",5.37444816494253
"72",2270.43,28.1666666666667,3661.07248080668,6,513.33,9733.18,653.7725,919.615,958.665,"Other glycan degradation ","Foregut","ab","Glycan biosynthesis and metabolism",4.08000934450681
"9",1583.53,30.3333333333333,1712.8886467135,6,597.65,5037.61,732.5875,906.765,1260.0875,"Other glycan degradation ","Foregut","ab","Glycan biosynthesis and metabolism",2.84563593561874
"CK",2479.035,44.1666666666667,1068.01331182247,6,1105.28,4336.54,2073.375,2321.815,2679.1025,"Other glycan degradation ","Foregut","a","Glycan biosynthesis and metabolism",4.45487681424199
"0",0.288333333333333,15.1666666666667,0.706269542502483,6,0,1.73,0,0,0,"Biosynthesis of type II polyketide products ","Foregut","b","Metabolism of terpenoids and polyketides",1
"12",2,33.3333333333333,1.09544511501033,6,1,4,1.25,2,2,"Biosynthesis of type II polyketide products ","Foregut","ab","Metabolism of terpenoids and polyketides",6.9364161849711
"24",2.34166666666667,21.5,4.82290541755348,6,0,12.05,0,0,1.5,"Biosynthesis of type II polyketide products ","Foregut","ab","Metabolism of terpenoids and polyketides",8.121387283237
"3",1.16666666666667,24.1666666666667,1.32916013582513,6,0,3,0,1,2,"Biosynthesis of type II polyketide products ","Foregut","ab","Metabolism of terpenoids and polyketides",4.04624277456647
"48",4.66666666666667,29.75,6.31400559602751,6,0,15,0.25,1.5,8,"Biosynthesis of type II polyketide products ","Foregut","ab","Metabolism of terpenoids and polyketides",16.1849710982659
"6",6.87333333333333,31.3333333333333,13.3846877687403,6,0,34,0.55,1.17,3.71,"Biosynthesis of type II polyketide products ","Foregut","ab","Metabolism of terpenoids and polyketides",23.8381502890173
"72",1.99166666666667,25,2.74598191302613,6,0,6,0,0.5,3.9625,"Biosynthesis of type II polyketide products ","Foregut","ab","Metabolism of terpenoids and polyketides",6.90751445086705
"9",5.52666666666667,23.3333333333333,12.0558809991915,6,0,30,0,0,2.37,"Biosynthesis of type II polyketide products ","Foregut","ab","Metabolism of terpenoids and polyketides",19.1676300578035
"CK",20.1666666666667,43.9166666666667,13.5560564570478,6,0,42,16.25,20.5,22.5,"Biosynthesis of type II polyketide products ","Foregut","a","Metabolism of terpenoids and polyketides",69.9421965317919
"0",1.58333333333333,20.3333333333333,1.74403746137136,6,0,5,1,1,1.375,"Isoflavonoid biosynthesis ","Foregut","bc","Biosynthesis of other secondary metabolites",1.80952380952381
"12",1.315,18.5833333333333,1.10333585095382,6,0.5,3,0.5,0.75,2.0425,"Isoflavonoid biosynthesis ","Foregut","c","Biosynthesis of other secondary metabolites",1.50285714285714
"24",13.6383333333333,38.6666666666667,23.841248639001,6,2,62.11,2.79,3.5,7,"Isoflavonoid biosynthesis ","Foregut","ab","Biosynthesis of other secondary metabolites",15.5866666666667
"3",0.875,16.1666666666667,0.54198708471697,6,0,1.5,0.625,1,1.1875,"Isoflavonoid biosynthesis ","Foregut","c","Biosynthesis of other secondary metabolites",1
"48",198.373333333333,47.8333333333333,437.894644208703,6,8.22,1091.94,10.9975,23.25,33.3125,"Isoflavonoid biosynthesis ","Foregut","a","Biosynthesis of other secondary metabolites",226.712380952381
"6",4.83333333333333,31.8333333333333,5.90480030709478,6,1,16.5,1.375,2.75,4.5,"Isoflavonoid biosynthesis ","Foregut","abc","Biosynthesis of other secondary metabolites",5.52380952380952
"72",471.268333333333,31.5833333333333,1143.91468418614,6,0.5,2806.25,1.125,2.695,11.825,"Isoflavonoid biosynthesis ","Foregut","abc","Biosynthesis of other secondary metabolites",538.592380952381
"9",4.78666666666667,25.6666666666667,8.47661882277755,6,0,22,1.055,1.61,2.375,"Isoflavonoid biosynthesis ","Foregut","bc","Biosynthesis of other secondary metabolites",5.47047619047619
"CK",3.41666666666667,16.8333333333333,6.93841960871975,6,0,17.5,0.125,0.5,1.625,"Isoflavonoid biosynthesis ","Foregut","c","Biosynthesis of other secondary metabolites",3.9047619047619
"0",60629.9516666667,22.5,13893.0141137658,6,52449.89,88548.28,53228.945,55486.19,58371.02,"Streptomycin biosynthesis ","Foregut","ab","Biosynthesis of other secondary metabolites",1.19923567043601
"12",67697.995,35.6666666666667,16898.3900791285,6,55745.98,99433.97,56228.365,61448.17,70579.48,"Streptomycin biosynthesis ","Foregut","ab","Biosynthesis of other secondary metabolites",1.3390386795514
"24",50557.1616666667,14.8333333333333,11596.2261562121,6,27895.99,59028.93,50789.15,54079.555,57444.8325,"Streptomycin biosynthesis ","Foregut","b","Biosynthesis of other secondary metabolites",1
"3",60096.4066666667,20.6666666666667,14340.8339108919,6,51548.2,89118.63,53254.4975,55681.615,55997.595,"Streptomycin biosynthesis ","Foregut","ab","Biosynthesis of other secondary metabolites",1.18868236834366
"48",64258.5266666667,24,20902.1642084294,6,51432.83,105686.06,52518.6675,55643.875,63161.66,"Streptomycin biosynthesis ","Foregut","ab","Biosynthesis of other secondary metabolites",1.27100740129234
"6",55443.39,24.3333333333333,6420.51582959189,6,42817.58,59532.24,55669.88,57779.7,59283.31,"Streptomycin biosynthesis ","Foregut","ab","Biosynthesis of other secondary metabolites",1.09664759990977
"72",57751.3383333333,25.8333333333333,3572.70910884957,6,54103.88,63403.67,54954.3025,57354.46,59441.5975,"Streptomycin biosynthesis ","Foregut","ab","Biosynthesis of other secondary metabolites",1.14229787491037
"9",62122.195,35.3333333333333,6306.71075933802,6,55702.97,72694.24,57423.5425,61217.8,64610.6275,"Streptomycin biosynthesis ","Foregut","ab","Biosynthesis of other secondary metabolites",1.22875163383546
"CK",67859.68,44.3333333333333,6197.72308583079,6,60751.33,78641.29,64328.8425,67202.495,69292.7575,"Streptomycin biosynthesis ","Foregut","a","Biosynthesis of other secondary metabolites",1.34223674278656
"0",15024.6366666667,21.6666666666667,5724.78580604259,6,12159.72,26687.77,12518.1175,12862.795,13094.335,"Acarbose and validamycin biosynthesis ","Foregut","ab","Biosynthesis of other secondary metabolites",1.24567967391283
"12",16465.415,35.6666666666667,4104.63476964638,6,12918.95,23044.81,13218.235,15230.215,18673.0975,"Acarbose and validamycin biosynthesis ","Foregut","ab","Biosynthesis of other secondary metabolites",1.36513336349384
"24",12061.3966666667,15.8333333333333,2544.54250085682,6,7177.67,14119.75,12001.755,12687.46,13614.005,"Acarbose and validamycin biosynthesis ","Foregut","b","Biosynthesis of other secondary metabolites",1
"3",14422.0016666667,18.5,4559.55214084637,6,12124.33,23709.83,12416.4525,12787.825,12819.11,"Acarbose and validamycin biosynthesis ","Foregut","ab","Biosynthesis of other secondary metabolites",1.19571572556965
"48",15031.6533333333,26.1666666666667,4559.58119641559,6,12213.3,24138.76,12728.1225,13107.695,14542.5775,"Acarbose and validamycin biosynthesis ","Foregut","ab","Biosynthesis of other secondary metabolites",1.24626141969739
"6",12866.0233333333,23.6666666666667,1394.68213840526,6,10182.69,14202.94,12963.1875,13116.635,13528.06,"Acarbose and validamycin biosynthesis ","Foregut","ab","Biosynthesis of other secondary metabolites",1.06671090329782
"72",15123.1883333333,25.6666666666667,4227.31643876073,6,12375.01,23314.87,12503.205,13402.84,15380.8925,"Acarbose and validamycin biosynthesis ","Foregut","ab","Biosynthesis of other secondary metabolites",1.25385050763883
"9",16801.5583333333,36.5,5269.74058717283,6,12835.15,26651.73,13458.425,14699.405,17834.0225,"Acarbose and validamycin biosynthesis ","Foregut","ab","Biosynthesis of other secondary metabolites",1.39300271748518
"CK",19017.5666666667,43.8333333333333,5822.37469008537,6,14353.83,30216.02,15408.8725,17532.67,19210.12,"Acarbose and validamycin biosynthesis ","Foregut","a","Biosynthesis of other secondary metabolites",1.57673005807232
"0",67531.0533333333,27.3333333333333,17277.6234732184,6,58531.98,102703.93,60047.21,60932.475,61983.1225,"Chloroalkane and chloroalkene degradation ","Foregut","ab","Xenobiotics biodegradation and metabolism",1.22881867537487
"12",64893.5733333333,23,16384.1707694441,6,51629.68,97511.48,58438.3025,60075.655,61651.2525,"Chloroalkane and chloroalkene degradation ","Foregut","ab","Xenobiotics biodegradation and metabolism",1.1808261664482
"24",54956.0766666667,19.8333333333333,13429.5774884434,6,27788.98,61760.78,57819.2225,60755.595,61565.2075,"Chloroalkane and chloroalkene degradation ","Foregut","b","Xenobiotics biodegradation and metabolism",1
"3",60117.6516666667,19,963.458814447545,6,58691.4,61061.14,59467.1675,60373.62,60874.24,"Chloroalkane and chloroalkene degradation ","Foregut","b","Xenobiotics biodegradation and metabolism",1.09392182472026
"48",73771.5083333333,33.6666666666667,26638.2957277746,6,54139.15,126404.34,60439.8175,64174.47,71949.8825,"Chloroalkane and chloroalkene degradation ","Foregut","ab","Xenobiotics biodegradation and metabolism",1.34237217807215
"6",58782.715,25,6614.64771602162,6,45323.29,62336.11,60885.605,61287.625,61604.4375,"Chloroalkane and chloroalkene degradation ","Foregut","ab","Xenobiotics biodegradation and metabolism",1.06963085004309
"72",62027.425,19.5,7061.1109895731,6,57945.97,76350.05,58862.935,59423.33,60115.1325,"Chloroalkane and chloroalkene degradation ","Foregut","b","Xenobiotics biodegradation and metabolism",1.1286727285178
"9",63661.61,34.3333333333333,3354.11361824849,6,58496.63,67582.39,61789.3725,64323.345,65805.2625,"Chloroalkane and chloroalkene degradation ","Foregut","ab","Xenobiotics biodegradation and metabolism",1.15840893057444
"CK",67878.84,45.8333333333333,1989.54095569808,6,65648.99,71392.78,66724.1875,67629.655,68319.61,"Chloroalkane and chloroalkene degradation ","Foregut","a","Xenobiotics biodegradation and metabolism",1.2351471232511
"0",239.913333333333,22,115.084450151472,6,114.79,372.15,138.7775,243.66,331.9675,"Steroid degradation ","Foregut","ab","Xenobiotics biodegradation and metabolism",1.16378982771305
"12",279.451666666667,27.3333333333333,54.3953646615837,6,223.59,367.2,247.775,258.83,307.835,"Steroid degradation ","Foregut","ab","Xenobiotics biodegradation and metabolism",1.35558537945977
"24",353.415,29.6666666666667,226.90419623709,6,113.37,682.23,197.735,286.01,509.9225,"Steroid degradation ","Foregut","ab","Xenobiotics biodegradation and metabolism",1.7143723370712
"3",206.148333333333,16.3333333333333,114.757786039409,6,115,411,126.1525,161.85,245.165,"Steroid degradation ","Foregut","b","Xenobiotics biodegradation and metabolism",1
"48",336.231666666667,32,142.139869060959,6,189.03,560.25,246.8625,285.395,418.825,"Steroid degradation ","Foregut","ab","Xenobiotics biodegradation and metabolism",1.63101811802181
"6",296.2,29.8333333333333,84.0000240476156,6,204.59,400,230.65,281.75,367.0575,"Steroid degradation ","Foregut","ab","Xenobiotics biodegradation and metabolism",1.43682946745466
"72",211.558333333333,17,75.2681003923088,6,141.59,307.02,153.275,185.365,276.915,"Steroid degradation ","Foregut","b","Xenobiotics biodegradation and metabolism",1.02624323909159
"9",309.521666666667,28.6666666666667,143.143820462731,6,158.7,573.19,233.6225,289.61,320.6975,"Steroid degradation ","Foregut","ab","Xenobiotics biodegradation and metabolism",1.50145122039955
"CK",451.1,44.6666666666667,104.618390926261,6,308.33,588.58,380.6575,460.725,515.885,"Steroid degradation ","Foregut","a","Xenobiotics biodegradation and metabolism",2.18823015789601
"0",92699.4433333333,17,6535.23668955813,6,85250.65,102035.13,87107.4825,93887.62,95688.0575,"Fructose and mannose metabolism ","Midgut","c","Carbohydrate metabolism",1
