Enzyme_ID	CKmc1	CKmc2	CKmc3	CKmc4	CKmc5	CKmc6	0hmc1	0hmc2	0hmc3	0hmc4	0hmc5	0hmc7	12hmc1	12hmc2	12hmc3	12hmc4	12hmc5	12hmc6	48hmc1	48hmc2	48hmc3	48hmc4	48hmc5	48hmc6
E60	2	5	0	3	0	1	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0
E61	10	19	39	8	9	28	9	15	6	0	9	32	4	4	13	11	12	18	12	7	4	12	19	14
E62	1	6	8	5	3	5	0	0	0	0	0	4	0	0	0	0	6	1	1	4	2	1	2	2
E63	4	2	4	1	7	1	0	0	0	0	0	1	0	0	0	0	0	0	2	3	4	3	3	1
E64	33	46	62	34	19	48	10	4	2	0	9	46	2	8	5	5	13	6	16	10	27	12	20	20
E65	6	15	22	31	5	17	2	13	1	0	5	21	4	0	13	7	1	1	4	6	7	12	4	4
E66	7	12	15	18	6	17	0	0	1	17	0	15	2	0	0	3	2	6	9	5	6	10	10	3
E67	4	2	2	1	2	2	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0
E68	7	17	19	14	17	13	12	3	2	3	4	16	8	4	10	5	4	13	4	1	4	5	5	12
E69	82	98	142	85	46	135	40	29	26	36	35	161	12	13	36	43	54	30	54	58	55	88	87	52
E70	7	11	30	3	12	13	8	10	14	0	13	12	0	0	10	15	6	14	0	0	0	0	0	0
E71	5	10	8	3	1	8	1	0	1	1	3	4	1	0	0	5	7	1	10	1	7	2	2	3
E72	5	3	1	4	1	3	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
E73	9	14	13	16	3	10	0	3	1	9	1	17	6	0	6	7	1	2	9	8	11	11	11	6
E74	19	11	29	18	12	24	12	10	2	2	3	16	17	3	10	19	8	8	19	10	10	19	7	6
E75	5	15	5	5	5	13	6	14	1	4	5	14	2	0	7	7	10	4	7	4	5	12	12	9
E76	3	0	8	7	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	10	0	0	0	0
E77	3	0	8	7	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	10	0	0	0	0
E78	5	35	16	7	1	13	6	6	10	8	6	17	2	12	16	3	12	8	10	6	8	16	13	11
E79	9	7	20	8	1	12	4	5	1	5	4	19	3	1	5	5	4	1	7	16	7	12	8	4
E80	22	84	84	81	29	70	69	251	38	65	21	101	10	22	107	24	89	96	299	148	117	340	87	50
E81	16	34	43	29	5	49	14	12	10	11	12	71	14	22	20	12	4	8	4	7	14	10	12	7
E82	7	5	7	12	6	8	0	0	0	0	0	10	0	0	0	0	0	0	0	5	0	0	0	0
E83	2	12	16	8	10	15	4	5	7	4	6	24	8	0	5	5	8	3	3	14	9	12	5	8
E84	27	37	46	23	7	38	2	6	2	3	5	37	8	1	7	8	7	10	17	17	10	19	8	16
E85	9	7	9	6	5	12	1	2	2	3	5	10	4	0	3	7	8	2	6	5	10	6	3	4
E86	22	44	50	26	18	54	22	5	4	7	13	55	3	3	20	9	11	15	12	8	4	15	2	0
E87	47	62	84	68	23	90	5	6	21	21	0	91	8	0	16	23	28	17	48	52	60	83	48	41
E88	78	102	122	41	31	91	28	29	23	5	38	145	16	29	68	37	37	49	33	23	42	53	27	26
E89	21	44	39	57	22	56	18	11	2	0	4	60	11	0	10	7	18	8	33	18	26	28	30	15
E90	8	21	11	21	7	25	0	6	0	1	0	29	0	0	1	0	4	0	11	5	3	6	20	7
E91	12	26	45	29	5	42	1	7	2	0	10	54	10	0	5	2	11	7	17	16	7	10	12	20
E92	22	50	41	57	22	63	18	11	2	0	4	66	11	0	10	7	18	7	33	18	19	26	39	15
E93	9	7	9	22	6	18	0	5	0	0	0	23	0	0	0	0	1	1	9	5	8	15	11	4
E94	47	84	61	60	29	76	7	23	16	2	8	91	21	4	17	18	20	15	35	28	24	40	32	16
E95	8	14	15	20	10	15	0	0	5	0	0	26	0	0	0	0	1	0	0	0	0	0	0	0
E96	11	31	32	16	1	28	4	10	6	3	9	45	6	1	2	7	5	5	8	13	3	19	8	8
E97	33	60	149	63	40	95	38	31	22	15	38	112	19	32	30	26	10	23	25	24	21	32	24	31
E98	15	18	20	17	3	16	5	3	2	9	3	22	1	0	5	12	6	3	6	5	3	17	8	4
E99	14	29	24	16	15	18	5	6	9	5	0	39	3	0	4	3	11	3	6	5	13	4	6	8
E100	6	11	4	10	0	15	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0
E101	8	15	19	12	5	14	0	0	7	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0
E102	13	27	36	14	7	26	16	4	3	10	8	31	6	0	3	13	17	13	9	3	5	9	7	10
E103	11	30	49	20	12	35	11	14	1	3	12	39	7	7	10	12	8	1	18	13	9	18	28	7
E104	18	24	61	36	13	69	15	22	16	0	17	43	12	8	9	18	18	25	14	14	17	19	38	25
E105	3	8	7	7	2	7	3	0	1	3	0	8	3	0	8	1	10	2	6	12	6	3	3	2
E106	7	2	5	9	1	4	0	0	0	0	0	27	0	0	0	0	0	0	1	6	8	0	0	0
E107	12	17	19	28	10	30	7	6	1	7	5	17	3	1	4	12	6	11	10	12	3	4	16	15
E108	3	15	9	6	1	3	1	2	0	0	5	10	0	0	10	4	2	7	0	0	0	0	0	0
E109	6	18	42	16	7	21	8	7	5	3	4	19	4	0	3	10	4	1	4	3	11	11	6	5
E110	7	24	17	25	10	19	2	4	14	9	2	33	2	0	3	6	6	3	8	15	9	9	23	10
E111	3	1	8	1	1	5	0	1	0	0	0	2	0	0	0	0	0	0	3	0	6	3	0	0
E112	3	23	24	22	7	39	0	2	0	0	0	37	0	0	1	3	1	5	10	11	3	13	11	4
E113	5	35	17	13	10	24	2	7	2	1	5	20	2	0	5	2	6	9	9	9	4	10	5	6
E114	4	9	9	8	1	10	1	4	1	3	1	5	1	0	0	4	2	1	5	3	6	1	2	7
E115	8	22	22	19	7	26	3	9	4	13	2	18	4	0	2	9	3	10	13	10	16	14	6	14
E116	8	12	1	9	0	3	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1	4	0
E117	1	4	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
E118	5	28	35	10	6	20	2	10	4	0	4	28	5	8	6	6	6	13	5	12	4	10	4	7
E119	9	9	12	6	5	10	0	0	0	0	0	9	0	0	0	0	1	0	3	4	1	2	2	1
E120	17	56	51	34	19	49	12	15	3	9	16	43	5	28	11	22	9	14	18	16	18	31	40	18
E121	1	15	22	2	2	15	3	10	0	0	6	24	0	0	1	3	4	5	4	17	4	10	5	8
E122	2	1	0	2	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
E123	8	21	28	33	6	28	4	1	5	9	1	31	5	0	2	6	8	4	10	18	6	7	11	7
E124	13	4	4	6	3	5	0	1	3	0	0	6	6	0	0	1	1	3	0	0	0	2	0	0
E125	5	1	0	5	0	3	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0
E126	10	22	34	7	9	16	7	3	10	0	5	19	6	0	11	4	13	4	9	27	11	25	13	11
E127	1	4	0	1	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
E128	12	15	31	11	3	15	4	4	8	12	1	24	1	8	1	5	4	1	9	13	6	7	11	9
E129	1	4	1	3	0	6	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
E130	13	27	13	27	8	20	10	6	2	0	7	32	11	11	3	5	3	2	6	9	9	6	13	7
E131	2	0	0	1	0	0	5	6	0	0	1	0	0	5	9	0	2	0	8	4	2	11	5	2
E132	26	51	56	40	15	39	12	18	9	6	2	38	7	0	11	9	24	20	25	8	20	24	35	11
E133	2	17	35	13	5	20	4	1	3	8	3	23	4	0	0	1	6	3	7	5	4	24	1	7
E134	2	0	0	0	0	1	0	0	0	0	0	4	0	0	1	0	1	0	4	1	1	2	2	2
E135	2	0	0	1	0	0	5	6	0	0	1	0	0	5	9	0	2	0	8	4	2	11	5	2
E136	4	16	21	26	3	21	5	3	1	13	9	29	1	3	6	2	1	2	14	5	4	14	8	9
E137	4	13	2	5	0	1	0	0	0	0	0	9	0	0	0	0	1	5	2	9	3	2	3	2
E138	35	93	88	51	14	74	19	15	20	32	19	83	27	0	28	17	15	12	27	14	19	48	24	20
E139	14	38	53	35	24	49	18	12	11	10	4	39	7	6	2	20	20	14	20	11	15	31	16	15
E140	6	25	9	19	3	10	3	12	1	0	6	25	2	4	1	3	4	7	9	10	9	11	11	5
E141	20	30	32	16	4	22	6	11	2	4	2	23	4	0	5	9	7	3	12	3	6	14	8	4
E142	9	23	10	16	2	17	7	0	5	1	1	17	7	0	0	10	3	1	2	8	5	13	4	9
E143	10	28	30	7	7	17	7	6	16	3	16	29	2	0	24	15	8	15	9	3	9	20	17	3
E144	20	25	47	15	18	27	22	5	4	6	13	28	3	3	20	9	11	13	10	6	1	10	0	0
E145	11	27	27	21	15	23	5	14	2	2	4	30	6	4	3	7	5	18	5	12	9	23	9	5
E146	8	20	20	18	8	17	3	2	4	7	2	30	1	0	6	4	5	5	8	6	7	6	6	7
E147	35	91	89	63	21	70	23	21	18	18	11	83	7	10	41	23	31	10	20	17	25	37	11	13
E148	44	123	123	74	65	139	38	45	13	34	47	146	25	55	85	54	42	66	33	46	30	45	46	21
E149	108	208	189	146	69	194	25	28	44	51	48	261	30	30	47	55	39	50	61	62	47	84	100	39
E150	35	51	82	58	25	57	20	12	3	30	13	85	6	17	14	13	20	28	22	12	20	24	22	20
E151	32	88	61	73	11	69	16	31	2	24	10	93	19	2	20	19	21	13	42	15	19	40	33	35
E152	49	53	56	62	17	73	2	3	9	0	3	74	2	0	6	5	18	8	15	8	13	11	12	9
E153	57	113	146	69	52	109	11	25	17	34	24	123	26	7	8	18	16	24	50	35	30	50	32	24
E154	62	131	148	107	55	119	30	45	21	21	25	188	22	21	41	37	36	33	55	40	50	53	41	42
E155	62	131	148	107	55	119	30	45	21	21	25	188	22	21	41	37	36	33	55	40	50	53	41	42
E156	10	12	30	30	17	33	8	4	5	1	4	52	6	8	2	3	5	3	0	2	2	8	0	0
E157	4	7	12	19	0	18	0	0	1	0	0	21	2	0	0	2	4	0	7	6	4	6	9	5
E158	22	54	55	58	10	42	10	7	5	27	5	80	2	4	5	3	17	10	27	20	12	29	19	21
E159	18	42	32	21	17	31	15	10	4	13	3	51	3	0	26	9	15	8	9	7	7	19	6	4
E160	42	189	204	65	83	112	40	112	35	72	27	131	18	33	54	39	45	40	108	65	50	109	55	45
E161	128	252	277	217	62	219	51	86	20	27	50	333	19	16	56	69	71	56	114	98	79	128	101	69
E162	18	42	32	21	17	31	15	10	4	13	3	51	3	0	26	9	15	8	9	7	7	19	6	4
E163	18	28	40	33	15	24	21	10	20	2	9	35	13	13	38	9	17	28	8	15	5	12	7	5
E164	4	1	5	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
E165	7	15	15	5	2	7	4	6	4	0	5	6	0	8	6	8	2	1	0	0	0	0	0	0
E166	16	21	21	22	16	31	2	18	2	0	3	31	5	5	6	9	3	15	18	16	21	12	14	18
E167	22	35	35	42	10	45	5	26	8	1	7	38	3	0	8	16	11	20	8	12	10	16	7	10
E168	7	18	21	11	4	29	3	3	1	2	1	18	1	0	4	7	2	8	9	17	10	6	9	7
E169	15	28	56	23	24	52	33	15	12	29	18	44	24	12	32	23	15	33	16	19	18	28	21	10
E170	8	12	18	18	21	18	4	3	9	4	5	41	1	4	1	5	4	3	8	5	8	15	20	5
E171	12	21	29	30	8	34	9	5	7	3	1	34	4	0	4	4	12	15	20	9	14	8	13	8
E172	9	29	25	14	5	41	8	6	1	0	1	28	10	0	1	7	6	6	8	7	5	8	7	10
E173	49	56	112	34	24	79	23	49	19	5	22	75	7	10	30	32	19	38	41	56	41	45	41	32
E174	13	25	31	23	8	21	9	10	8	6	3	22	5	0	3	11	6	3	3	8	7	1	11	6
E175	11	14	29	25	9	20	5	9	2	4	1	27	1	8	6	9	8	6	13	11	9	24	9	6
E176	12	37	42	7	26	34	27	30	19	0	14	26	7	0	26	27	15	12	15	14	6	16	9	13
E177	15	32	20	22	2	13	0	0	6	0	0	26	8	0	0	0	4	0	4	10	13	8	13	13
E178	15	32	20	22	2	13	0	0	6	0	0	26	8	0	0	0	4	0	4	10	13	8	13	13
E179	20	33	34	29	11	21	11	16	0	0	1	31	0	0	1	2	3	3	4	16	4	14	10	3
E180	7	4	1	5	5	7	0	0	0	0	0	2	0	0	0	0	1	0	2	1	1	2	1	1
E181	9	11	33	5	2	12	0	0	0	0	0	11	0	0	0	0	0	5	12	14	7	8	16	10
E182	12	12	13	11	6	8	7	0	0	5	0	31	0	0	0	0	0	0	17	5	3	5	1	5
E183	12	19	13	25	8	27	1	1	1	6	4	24	3	9	10	3	7	2	8	25	14	21	13	17
E184	9	32	27	43	18	32	14	2	4	0	6	49	12	0	8	16	8	4	8	8	22	9	20	8
E185	5	1	1	4	4	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
E186	2	3	3	4	0	2	0	0	0	0	0	2	0	0	0	0	0	0	4	2	5	2	4	1
E187	3	7	2	2	2	2	0	0	1	2	0	2	9	0	4	6	1	1	0	0	0	1	0	0
E188	2	3	9	2	1	4	0	1	1	2	1	2	1	0	0	2	2	3	2	3	2	12	3	5
E189	7	27	34	23	9	39	7	6	4	2	1	42	2	0	1	5	6	1	10	8	17	10	11	8
E190	1	4	5	3	0	8	0	0	0	0	0	5	0	0	0	0	0	0	9	2	3	8	12	3
E191	2	13	17	7	2	18	5	6	4	0	5	16	10	0	8	9	9	6	10	3	14	11	8	9
E192	4	17	13	5	2	11	1	2	6	2	0	19	1	0	0	6	6	1	18	2	10	7	14	7
E193	1	10	2	3	1	3	0	6	1	4	0	4	3	0	0	2	1	3	2	5	4	2	1	2
E194	1	1	0	3	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
E195	1	6	0	1	0	4	0	0	0	0	0	5	0	0	0	0	0	0	4	0	0	1	7	0
E196	1	3	1	2	0	2	0	0	0	0	0	1	0	0	0	0	0	0	2	1	1	8	1	1
E197	3	5	4	5	2	6	4	6	0	0	7	10	0	2	10	2	3	10	2	0	0	7	0	0
E198	1	7	11	9	5	7	3	3	1	9	2	13	1	0	6	6	1	2	3	3	9	6	3	0
E199	12	16	10	13	8	25	10	9	3	6	4	22	1	0	22	10	11	20	24	17	14	29	13	17
E200	11	22	22	16	16	29	3	7	5	9	7	26	3	0	2	3	3	1	3	6	6	16	10	5
E201	7	13	10	7	4	10	1	6	3	6	1	23	1	0	6	3	1	8	20	16	16	30	11	14
E202	16	26	41	22	13	62	16	1	8	29	7	90	8	0	12	19	29	21	37	32	18	48	45	22
E203	2	15	18	6	11	34	6	1	0	0	3	12	0	2	5	9	3	2	6	6	7	8	3	12
E204	7	18	25	6	14	25	4	9	4	4	7	31	1	0	6	10	3	8	8	16	11	5	12	3
E205	9	30	51	15	17	20	8	4	2	1	12	27	4	0	7	11	10	10	15	9	15	23	7	8
E206	23	34	35	35	20	52	15	14	7	14	8	61	4	0	9	6	9	5	16	31	11	26	23	16
E207	80	71	128	96	46	111	8	1	24	27	5	134	30	0	0	17	25	15	22	35	11	28	2	19
E208	2	4	1	1	0	12	0	0	0	0	0	5	0	0	0	0	0	0	6	3	8	5	7	2
E209	3	4	8	7	2	8	0	0	0	0	0	5	0	0	0	0	0	0	2	1	1	1	0	0
E210	20	37	48	46	17	30	17	17	1	18	3	47	5	0	9	9	8	14	27	35	19	34	39	19
E211	1	7	8	8	2	3	0	2	0	0	0	11	0	0	0	0	0	0	7	8	2	5	2	1
E212	21	18	23	19	7	31	6	9	7	21	10	45	5	3	12	12	18	8	3	6	7	16	2	7
E213	2	10	1	4	3	12	0	0	2	0	0	19	0	0	0	0	0	0	8	1	0	3	7	0
E214	6	10	19	15	3	17	5	0	3	36	1	13	7	0	1	7	9	5	6	6	7	7	5	3
E215	1	8	4	1	2	2	2	0	0	0	0	13	0	3	1	0	1	4	13	7	16	10	3	9
E216	14	32	39	16	10	17	6	8	6	3	10	25	5	8	13	3	16	13	18	18	7	14	17	12
E217	2	6	4	2	4	5	0	0	0	0	0	5	0	0	0	0	0	0	2	1	3	2	12	1
E218	17	5	3	5	1	9	5	4	1	4	8	8	2	0	4	19	6	6	3	1	9	9	2	3
E219	34	48	73	28	35	54	15	13	15	16	16	48	12	12	23	26	5	22	12	20	8	26	3	11
E220	1	2	0	2	3	10	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0
E221	29	65	82	47	20	72	12	22	9	2	18	69	13	12	34	18	24	30	37	27	10	45	22	26
E222	5	13	12	9	5	12	2	4	1	0	5	22	0	1	6	3	5	2	0	1	0	0	2	0
E223	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0
E224	1	2	0	11	0	6	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
