 Pathway	CKqc1	CKqc2	CKqc3	CKqc4	CKqc5	CKqc6	CKmc1	CKmc2	CKmc3	CKmc4	CKmc5	CKmc6	CKhc1	CKhc2	CKhc3	CKhc4	CKhc5	CKhc6	0hqc1	0hqc2	0hqc3	0hqc4	0hqc5	0hqc7	0hmc1	0hmc2	0hmc3	0hmc4	0hmc5	0hmc7	0hhc1	0hhc2	0hhc3	0hhc4	0hhc5	0hhc7	3hqc1	3hqc2	3hqc3	3hqc4	3hqc5	3hqc6	3hmc1	3hmc2	3hmc3	3hmc4	3hmc5	3hmc6	3hhc1	3hhc2	3hhc3	3hhc4	3hhc5	3hhc6	6hqc1	6hqc2	6hqc3	6hqc4	6hqc5	6hqc6	6hmc1	6hmc2	6hmc3	6hmc4	6hmc5	6hmc6	6hhc1	6hhc2	6hhc3	6hhc4	6hhc5	6hhc6	9hqc1	9hqc2	9hqc3	9hqc4	9hqc5	9hqc6	9hmc1	9hmc2	9hmc3	9hmc4	9hmc5	9hmc6	9hhc1	9hhc2	9hhc3	9hhc4	9hhc5	9hhc6	12hqc1	12hqc2	12hqc3	12hqc4	12hqc5	12hqc6	12hmc1	12hmc2	12hmc3	12hmc4	12hmc5	12hmc6	12hhc1	12hhc2	12hhc3	12hhc4	12hhc5	12hhc6	24hqc1	24hqc2	24hqc3	24hqc4	24hqc5	24hqc6	24hmc1	24hmc2	24hmc3	24hmc4	24hmc5	24hmc6	24hhc1	24hhc2	24hhc3	24hhc4	24hhc5	24hhc6	48hqc1	48hqc2	48hqc3	48hqc4	48hqc5	48hqc6	48hmc1	48hmc2	48hmc3	48hmc4	48hmc5	48hmc6	48hhc1	48hhc2	48hhc3	48hhc4	48hhc5	48hhc6	72hqc1	72hqc2	72hqc3	72hqc4	72hqc5	72hqc6	72hmc1	72hmc2	72hmc3	72hmc4	72hmc5	72hmc6	72hhc1	72hhc2	72hhc3	72hhc4	72hhc5	72hhc6	CKT1	CKT2	CKT3	CKT4	CKT5	CKT6	0hT1	0hT2	0hT3	0hT4	0hT5	0hT7	3hT1	3hT2	3hT3	3hT4	3hT5	3hT6	6hT1	6hT2	6hT3	6hT4	6hT5	6hT6	9hT1	9hT2	9hT3	9hT4	9hT5	9hT6	12hT1	12hT2	12hT3	12hT4	12hT5	12hT6	24hT1	24hT2	24hT3	24hT4	24hT5	24hT6	48hT1	48hT2	48hT3	48hT4	48hT5	48hT6	72hT1	72hT2	72hT3	72hT4	72hT5	72hT6	6hG1	6hG2	6hG3	6hG4	6hG5	6hG6	6hJ1	6hJ2	6hJ3	6hJ4	6hJ5	6hJ6	6hS1	6hS2	6hS3	6hS4	6hS5	6hS6	6hW1	6hW2	6hW3	6hW4	6hW5	6hW6	6hX1J	6hX2J	6hX3J	6hX4J	6hX5J	6hX6J	24hG1	24hG2	24hG3	24hG4	24hG5	24hG6	24hJ1	24hJ2	24hJ3	24hJ4	24hJ5	24hJ6	24hS1	24hS2	24hS3	24hS4	24hS5	24hS6	24hW1	24hW2	24hW3	24hW4	24hW5	24hW6	24hX1J	24hX2J	24hX3J	24hX4J	24hX5J	24hX6J
 14- and 16-membered macrolides [PATH:ko00522]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.0	78.0	1.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0
 aspartate and glutamate metabolism [PATH:ko00250]	247766.17999999996	226112.84	251258.66999999998	288884.58	243158.18000000005	232233.76	249936.06999999998	246128.25000000003	310483.5800000001	258494.41000000006	249616.93000000005	314281.0200000001	330531.62000000005	328736.32000000007	361632.9400000001	343962.15	363874.51	393988.10999999987	203692.84999999995	341504.58	204514.61999999994	212605.41000000003	220615.95999999996	209586.24000000008	197403.58999999994	196139.51999999996	212990.95000000007	217187.84	209318.4599999999	212892.48000000004	384564.5100000001	386848.1100000001	382429.6700000001	365111.75000000006	376420.5500000001	371004.19	262672.49	212778.86999999994	210975.42	213020.04000000004	203615.79999999996	201546.1	198898.90000000002	211132.39000000007	206404.16999999998	216626.98	206747.18999999994	216966.21999999997	308121.24	386041.02999999997	362856.65	414485.38000000006	407277.73999999993	409177.35000000003	214229.44	225381.46	272441.75000000006	211743.43999999994	160689.9	218093.66	256107.33000000002	199317.31000000006	205402.78	214884.97	176962.58000000002	201787.3699999999	426165.2900000001	377668.04000000004	411779.81	328687.59	274685.01999999996	386752.12999999995	216015.3	226238.5100000001	282140.5799999999	221406.66999999998	210417.73000000007	230513.22999999998	202155.55999999997	202158.27	523359.5599999998	197903.05000000002	229796.13999999998	200743.96	409988.84000000014	374545.89	546850.9700000002	365828.68000000005	415364.75999999995	419634.10000000003	212064.31999999998	213526.98000000013	306172.3900000001	208296.53000000006	217608.08000000002	226660.12999999995	210919.35	210768.14000000007	219458.94	198751.21000000005	202000.00000000003	227678.6	507198.98000000004	505271.48000000004	478066.83	424786.7100000001	370386.17000000004	416906.93000000005	208937.91000000006	223847.43999999994	106230.67999999998	194503.87999999998	207226.99999999997	218739.90999999992	221237.25	493013.80000000005	112210.63999999998	191899.56000000003	199545.77999999997	212430.75000000003	308877.67	385571.48	336358.5599999998	482690.67	443830.05	357979.93	219904.53999999995	349795.66000000003	242047.49000000002	202445.90999999995	203370.74000000008	215578.99000000005	351869.65999999986	399231.85000000003	343868.0299999999	387994.19	190944.88999999998	378785.3400000001	471434.77000000014	495773.41000000015	423282.31000000006	491400.32999999996	413248.09	444032.66	210557.55999999997	207852.67	237590.13999999996	258224.46999999994	205354.98	264724.19999999995	373161.12	410792.48000000004	423270.38000000006	327682.1999999999	349358.9799999999	369548.83	424469.72	389511.42	371473.48000000004	396829.49000000005	390868.5600000002	434201.44000000006	529371.9800000001	565482.8300000002	557655.2599999999	539802.2200000003	545817.8900000001	550899.3	434414.2000000001	414762.7400000002	411943.2000000002	531130.9199999999	549073.8999999998	394694.55999999994	417673.27	287338.51	461592.2400000001	387778.8900000001	546512.0700000001	485502.5600000001	306554.42000000004	553113.8300000002	530425.9099999999	444493.14999999985	304313.67	439576.8800000001	585687.85	515017.0300000001	252379.59	491313.3500000001	441706.2699999999	450934.11	388976.21	234163.74000000002	518976.8800000002	405834.2600000001	474226.0299999999	502693.4100000002	452903.02000000014	477967.5800000001	274898.61	258508.35999999996	476875.7600000001	414072.97000000003	447161.34000000014	417339.37999999995	338273.3500000001	402403.34	501793.92000000004	379427.2700000001	425732.82000000007	389338.74000000005	400146.7300000001	351038.09	269378.6400000001	447154.9199999999	346529.1400000001	346084.8500000001	538191.41	545300.14	432182.00999999995	398090.60000000015	587552.77	350578.22	350867.11999999994	376991.75999999995	156422.03	246798.01000000004	382265.11999999994	377143.71	422853.11000000016	439494.6700000001	380405.37	411981.26	482129.08000000013	474090.0800000003	450935.9000000001	511494.9099999999	520798.2500000001	524279.3400000001	254875.62000000002	366839.49	327126.97	257919.75	281923.0999999999	299268.04	382346.3800000002	747641.5700000001	203886.45999999996	422050.85000000003	385800.18000000005	465935.58000000013	265228.31	321667.45000000007	147164.36000000002	198522.15	269992.03	200002.79	340274.87999999995	500352.38	283208.1799999999	387550.33000000013	380899.8799999999	400626.0199999998	493782.65999999986	582163.46	500463.4399999999	517031.3300000001	533952.2000000003	545993.4900000001	323781.16000000003	364485.94000000006	262751.95999999996	372975.99999999994	356145.0	374163.06000000006
 diarylheptanoid and gingerol biosynthesis [PATH:ko00945]	4.0	112.0	15.0	0.0	18.5	17.0	28.0	82.0	3.0	10.0	35.0	2.0	1.0	4.0	3.0	6.0	8.0	36.0	0.0	0.0	0.0	2.0	0.0	2.33	1.0	0.0	7.0	22.0	1.0	2.0	53.0	46.0	0.0	1.0	0.0	0.0	1.0	22.0	0.0	11.0	0.0	6.0	2.0	77.0	1.0	299.0	9.0	14.0	1.25	76.0	13.0	218.0	1.0	29.0	10.0	1.0	5.0	1.0	27.0	2.0	8.0	2.0	0.0	8.0	3.0	0.0	6.0	18.0	1.0	4.0	4.0	1.0	2.0	2.0	0.0	7.0	0.0	0.0	1.0	0.0	0.0	2.5	3.0	0.0	1.0	1.0	0.0	5.0	4.0	2.0	0.0	7.0	0.0	0.0	1.0	4.5	0.0	7.0	0.0	2.0	1.0	1.0	0.0	0.0	7.0	3.0	3.0	5.0	1.0	8.0	184.0	0.67	0.0	15.0	73.0	1.0	1.0	0.0	0.0	14.0	2.0	4.0	2.0	13.0	1.0	2.0	0.0	0.0	0.0	0.0	5.0	3.0	3.0	1.0	4.0	1.0	1.0	4.0	5.0	5.0	5.0	6.0	1.0	16.0	1.25	2.0	1.5	0.0	5.0	0.33	0.0	5.0	1.0	5.0	4.0	3.0	1.0	6.0	1.33	7.0	6.0	2.0	98.0	21.0	40.0	30.0	55.0	45.0	1209.28	497.28	267.14	1027.0	94.0	3.0	68.14	2399.0	223.0	201.5	550.0	540.0	19.0	267.0	454.0	17.0	1335.14	30.0	339.58	428.86	34.0	10.0	620.9200000000001	1154.28	105.58	14.0	310.75	351.5	303.0	852.0	464.0	174.0	22.0	14.0	35.25	37.0	20.0	84.0	8.0	218.25	45.0	109.0	279.0	38.0	61.0	43.0	8.0	132.0	32.5	33.0	15.0	25.0	0.0	157.0	1.0	12.0	1.0	0.0	2.0	1.0	463.0	31.0	7.0	157.0	519.0	1.0	6.0	5.0	7.0	26.0	14.0	19.0	204.0	376.0	1.0	11.5	155.0	1.0	71.0	11.0	49.0	63.0	50.0	57.0	0.0	0.0	42.0	448.0	50.0	1.0	94.0	1.0	1.0	135.0	5.33	1.0	8.0	3.0	42.0	28.0	7.0	5.0	123.0	333.0	202.0	90.0	73.0	99.0
 kanamycin and gentamicin biosynthesis [PATH:ko00524]	6503.56	3036.67	5513.46	13469.14	4395.9400000000005	3319.67	7321.57	3835.2	6863.4	6643.78	5196.48	18322.61	16963.370000000003	18133.550000000003	17229.3	14434.99	16016.43	10555.58	1701.6499999999996	10708.97	1450.6799999999998	2499.2699999999995	2870.1800000000003	1915.2	711.78	767.31	1997.8399999999997	2567.85	1574.25	2039.57	9375.9	10939.5	7905.16	10646.36	9132.25	9883.85	10872.249999999998	2297.45	2298.36	2215.67	1539.92	1388.09	1779.65	1606.56	1626.6799999999998	1914.78	1513.4799999999998	2628.2200000000007	10950.999999999998	10648.27	9031.97	9388.76	10723.11	12763.41	2067.96	2828.0800000000004	1967.2000000000005	1897.41	2039.61	3127.9	4127.45	930.54	1638.26	2137.87	1008.22	1362.3199999999997	9725.329999999998	7983.76	10512.830000000002	7022.599999999999	5882.399999999998	10991.45	1952.84	3216.03	10025.3	2577.99	2138.99	6279.42	1335.5800000000004	1390.6	13443.42	831.8800000000001	3175.1599999999994	1295.4199999999996	6917.049999999999	8029.63	7343.05	12628.82	8916.03	9113.55	2050.88	2584.9100000000003	8463.83	3058.52	6775.9	4872.29	2170.49	1747.1799999999998	3112.1400000000003	1155.86	1587.76	2304.36	15923.669999999998	17622.559999999998	14882.63	12110.06	8524.57	12625.5	2091.79	2464.79	2585.28	1507.62	1604.5599999999995	3312.5399999999995	3218.95	2312.18	1401.16	1290.9299999999998	1196.63	7059.68	9037.02	8719.09	11832.6	10275.839999999998	14760.87	21568.27	2352.56	9117.68	3519.6800000000003	1397.4499999999998	3241.6399999999994	2526.59	8598.82	9864.06	8772.93	9437.73	5469.080000000001	7200.86	5428.119999999999	9973.26	8515.83	5284.49	8957.789999999999	10535.96	2365.4400000000005	2142.9	9068.06	1498.7	2495.67	4388.54	8215.09	11120.78	4307.93	8822.04	10149.2	10055.95	5804.23	9100.59	9879.85	8602.74	9157.079999999998	11976.17	19231.69	19124.45	19512.26	17714.610000000008	19702.890000000003	17763.449999999997	14540.289999999995	13351.84	14900.839999999998	17999.93	20430.080000000005	12912.93	13799.3	10178.77	13853.44	13319.04	20250.370000000003	17743.030000000006	9364.32	21343.820000000007	19984.48	12969.65	8850.99	14591.96	26872.210000000003	18379.41	8580.97	16591.440000000002	12923.61	15940.0	15687.19	3285.96	18614.1	11944.579999999998	12607.600000000002	17464.550000000003	17352.120000000003	17449.5	9283.669999999998	3542.99	16842.75	9983.94	6596.3	14345.44	12967.58	10549.57	17451.360000000004	12630.13	16631.2	6008.81	13829.54	11203.130000000005	7501.23	11743.88	19149.9	19200.490000000005	2181.46	1880.47	12384.74	18472.590000000004	22874.51	12312.47	11777.21	11931.81	4235.25	9674.45	15774.830000000002	16531.17	15696.47	20014.460000000003	15805.35	13792.11	19954.64	18066.570000000003	17970.980000000003	20067.08	19529.219999999998	20432.650000000005	12373.97	17294.960000000006	14259.580000000002	9815.16	12761.360000000002	17083.99	12718.66	5493.170000000001	5284.14	13124.56	11571.67	19080.160000000003	9794.36	13360.180000000002	5404.46	9786.209999999995	6893.580000000001	6101.37	12819.089999999998	17263.5	8572.25	18740.45	12921.039999999999	16318.22	18871.54	21911.33	19139.840000000004	21060.490000000005	19894.01	20285.76	12871.11	16605.77	15666.4	18519.03	14104.6	17190.47
 leucine and isoleucine biosynthesis [PATH:ko00290]	167705.62	200160.84999999998	191893.02999999997	109585.36	194887.17	202891.83000000005	156210.83999999997	211744.6	250241.46	180119.78000000003	190344.45999999996	62443.33	87168.68999999999	64141.6	83794.48	113290.90999999999	118105.44	181605.71	180622.91000000003	293068.39	190985.98000000004	182827.46999999997	181152.71000000002	188873.95999999996	193751.30000000002	192047.58	195603.94000000006	182160.31999999995	198665.52999999997	196816.09000000003	245124.99000000002	243244.13000000003	218923.11000000002	233771.76000000004	228431.08000000005	232052.63	173343.21000000002	182584.96000000002	186661.28999999995	185590.76999999996	184924.2799999999	185506.33000000002	185138.0	197094.53000000006	187619.59000000003	194301.38999999998	192736.84	181383.12999999998	189352.32000000004	227307.42000000004	217879.85	250873.00999999998	258720.18	266953.1	190010.82	179849.92	193595.71	191926.52000000002	120286.54000000001	172771.16	215959.31	193679.87000000005	184508.30000000008	189676.53999999998	164805.09999999998	185828.08000000002	258733.25	212562.91999999998	255592.52000000005	176244.81000000003	145732.15	247212.46000000008	195080.20999999996	201460.58000000005	130980.92000000001	199059.82	182125.63000000006	171046.41999999995	183106.73000000004	188291.63000000003	155732.83	192236.44999999995	195601.7	187116.85	208473.38000000006	207828.93999999997	216840.69	198095.31000000003	205262.54000000007	234752.12000000002	187526.09000000005	187812.47000000003	246276.26000000004	179902.27000000002	161984.69	188145.11000000002	192518.97	194488.45000000007	174629.50000000003	188895.53	182448.55	205310.06999999998	329230.10000000003	351603.87000000005	321720.35000000003	226801.0400000001	180279.34	259996.7500000001	185434.90000000002	188383.51	58508.83	175428.38	193487.38999999998	188174.08000000002	186869.87000000002	257004.61000000002	78254.78	177984.15	186385.60000000003	113803.21999999999	157689.68000000002	220276.19	229122.57000000004	316854.2300000001	298675.3000000001	221736.35000000003	180672.25999999992	272305.31	208076.28	186876.28999999998	163741.79000000004	189626.02000000005	207350.56000000003	235754.20000000004	200196.5	230758.95000000004	103619.45999999999	206293.25000000003	247180.22	304476.64	254091.71000000008	250302.39	194791.03	269959.36999999994	178343.14	177912.16	116907.61000000002	200206.86000000002	172271.00999999992	191552.00999999998	219954.23	252416.87000000002	211082.85	194256.56999999995	223472.28000000003	194881.12000000005	225454.05000000005	211316.96000000005	198685.55	216436.79999999996	229393.59999999998	250348.83000000002	351760.9300000001	383031.0999999999	374100.62000000005	380432.6000000001	366243.2900000001	375651.21000000014	284632.93	231396.62000000005	251693.67000000013	344651.24000000005	366708.06000000006	247323.39	272787.28000000014	154036.72999999998	285918.54000000004	250744.37000000005	337980.0100000001	308580.20000000007	170162.34999999998	365821.81	337199.43	260186.7800000001	166493.66	276397.85000000003	326641.19000000006	324218.0100000002	150105.7	322901.09	275844.52	293075.14000000013	230861.71999999997	125427.53000000001	358294.7000000001	239731.67000000007	294923.86	328021.0100000001	290431.72000000003	305230.7500000001	169430.28000000003	145639.51	318575.99000000005	263073.3600000001	266806.12	274913.44	247650.15	256581.93000000005	333859.55000000005	265154.81000000006	272899.75	225376.98999999996	249107.60000000003	212459.68	159565.2	270478.5200000001	85112.32	85220.40999999999	223988.86999999997	224570.69	242552.30000000002	147697.08	366256.98	214721.49	199217.13999999998	214999.05999999997	65185.01	134442.55000000002	227715.64999999997	228802.6	278242.85000000003	263907.89	226354.88999999996	262877.66	327425.51	326829.86000000004	319006.92000000004	369948.86	385347.54000000004	366509.9800000001	160869.41	198975.59000000005	217818.39	152663.76	172393.23	194180.74	216029.18	316637.46	89248.51999999999	238294.65999999995	210406.33000000002	260888.54000000004	146204.59	195950.55	68602.67	99189.98999999999	134902.03999999998	94480.50000000001	222207.84999999998	316774.48000000004	175082.59	237277.71999999997	250864.25000000003	247368.56	360319.71	434597.5900000001	372215.3100000001	377321.60000000003	395159.03	406285.9700000001	183343.85000000003	176724.94	131125.43000000002	201982.69	208183.08	202402.44000000003
 leucine and isoleucine degradation [PATH:ko00280]	327273.14999999985	371917.68	368098.11	243172.58999999994	354700.30000000005	381342.67	304900.14	391151.1100000001	473781.87	341528.0300000001	367748.92000000016	166443.66000000006	225496.9	182717.37	221135.06999999995	270433.77999999997	283742.37	398813.23	344284.12000000005	484164.16000000003	357143.69	351183.27999999997	353402.56999999995	355471.81000000006	357458.82999999996	354794.7899999999	365658.93000000005	352286.1099999999	368660.8800000001	368018.05000000005	499872.56999999995	507652.9299999999	474039.9499999999	488559.1699999999	485841.26	489191.06999999995	223484.50999999998	349792.7100000001	356467.56	354803.35	349513.69	349206.74999999994	328961.0499999999	366581.82	353481.7700000001	363579.86999999994	360802.02999999985	351916.8	326063.28000000014	477272.7700000001	464575.8000000001	529584.6	554039.7500000002	545959.01	359677.00000000006	346160.9200000001	371762.59	361898.84	237252.55000000002	342029.77999999997	407848.0700000001	356727.1599999999	349937.9999999999	360542.73000000004	307127.44000000006	349675.16000000015	543426.12	459997.5500000001	534122.21	392946.9199999999	318230.5	513588.6	367768.40000000014	377241.4299999998	265067.04000000004	370511.3699999999	347383.72	288329.29	345706.0699999999	352790.35000000003	220147.95	355301.74000000017	372111.44	349124.0500000001	458092.5	445681.23	314879.8	402606.77999999997	447228.19999999995	502018.7800000001	356404.06000000006	353592.0900000001	475816.62000000017	331251.33	270218.17000000004	324199.93	360348.43999999994	363696.14	344449.5800000001	349716.88999999996	345395.16	347329.2700000001	679543.87	706800.63	669696.3099999999	412410.8400000002	274582.13000000006	530086.6700000002	350950.12999999995	352390.37	116841.64999999998	330681.13	361411.5	350665.12000000005	329946.92	398460.3099999999	153976.86	332594.85000000015	349015.99000000005	250018.58000000002	174779.47999999998	462378.36	461152.9199999998	630574.4	575149.0100000001	236792.65000000002	327922.44000000006	568604.94	401016.69999999995	349988.98000000004	307998.63000000006	359891.0	443734.00000000006	513534.64	432377.23999999993	485384.31999999995	205909.43999999997	452906.69	538218.8500000001	549679.3799999999	538511.7000000001	461722.30000000005	388859.2700000001	553745.8600000001	344226.86	342883.10000000003	239726.12	357834.51	330890.70999999996	336755.63000000006	472328.22	524897.89	475190.01999999996	410504.67	467447.24	337720.72000000003	495398.37	407925.32	415876.17000000004	439012.17	472138.3100000001	465160.7900000001	682032.1400000002	741987.47	732099.9799999999	737623.9900000003	708248.2500000002	737052.8600000002	598985.47	432495.25999999995	493596.32	688748.36	768234.72	501945.48	549986.9000000001	292555.72000000003	586013.36	524230.01	726630.8000000003	710647.0300000001	359886.5599999999	805537.7799999998	733434.1599999998	578820.94	341975.8400000001	596261.4599999998	563754.5299999999	629893.52	311630.42	650678.3700000001	521140.46999999986	583440.9999999999	493704.8300000002	222021.22	719971.4500000001	475787.16000000003	555067.9799999997	634982.63	557471.6399999999	612672.0800000001	347393.9300000001	248044.77000000002	632144.7600000001	481373.19000000006	460541.2099999998	571126.3999999999	517975.65000000014	464115.06999999995	671782.71	527815.3200000002	544857.6100000001	404854.17999999993	469825.3399999999	407195.7499999999	294009.87	498477.8500000002	203858.50999999998	203119.69000000003	437629.14	443166.2699999999	562498.6400000001	348971.12	650438.6899999998	394345.91000000003	373510.58000000013	363540.76999999996	151636.77	235717.97999999992	365808.99	396392.25000000006	567744.9900000001	438248.94000000006	358820.2100000001	495016.54999999993	560652.8300000001	600863.5000000001	617042.8099999998	682961.26	739478.7500000001	757509.1399999998	219852.08000000007	266767.39999999997	368867.81	212067.00999999998	228384.05000000008	298898.88	401144.66000000003	441038.7900000001	178777.20000000004	459820.88999999996	348903.1300000001	515032.3099999999	264616.44000000006	336717.46	129745.74	178181.47999999995	254984.92	176143.27000000002	434803.75	577969.0000000003	342485.12999999995	328889.95999999996	527893.9299999999	421521.9200000001	708242.62	893646.24	724014.1499999999	641599.4099999999	815862.9200000002	794882.25	351808.4700000001	281752.2899999999	216242.8	313195.90000000014	417452.9300000001	344773.74000000005
 piperidine and pyridine alkaloid biosynthesis [PATH:ko00960]	28500.71	33581.8	33383.86	17993.550000000003	36185.68000000001	34495.93	24692.470000000005	37655.95	48769.990000000005	30678.47	34516.78999999999	7909.33	20049.329999999998	13819.64	19709.79	28966.4	28272.05	49283.61	30867.320000000007	36994.17	30724.109999999997	32405.0	33424.49999999999	31643.84999999999	29862.3	29678.679999999997	32113.04	33165.42999999999	31352.209999999995	32164.97	64557.07000000001	63946.22999999999	61221.77000000002	61098.26000000001	61761.689999999995	61771.27999999999	34303.840000000004	32026.11	32236.13	32234.069999999992	30800.54	30495.409999999996	29241.630000000005	31774.350000000006	31182.619999999995	32598.840000000004	31082.0	32796.39	46816.43	60529.43	59309.61	66578.77	66653.66	67598.08	32408.14000000001	33872.02	39328.899999999994	31812.78	21689.02	33120.22	37945.84	30048.36	31214.270000000004	32501.21	26688.969999999994	30508.42	68987.77	60208.64	67661.45	52185.4	43173.25	64794.93000000002	31986.18	34019.53	21144.54	32709.08	30939.14	28872.66	29241.359999999997	30563.699999999997	28929.43	29897.619999999995	34497.100000000006	30265.410000000007	61192.45000000001	58188.99	48698.369999999995	50173.189999999995	56745.380000000005	63353.380000000005	32126.16	32123.28	45886.55	31135.01000000001	30616.63000000001	32722.39	32183.160000000003	31463.950000000004	33280.56	29955.83	30698.829999999998	35271.15999999999	77995.93	76031.18000000001	73824.82999999999	60217.640000000014	47517.54000000001	64032.040000000015	31760.870000000003	32469.66	15668.460000000001	29179.25	31206.379999999997	31961.7	31721.190000000002	61412.71	18252.96	29004.740000000005	30229.82	32010.590000000007	36057.03	59460.640000000014	52544.65000000001	79401.05	65792.54000000001	48945.14	32628.15	51815.05	35987.36	30677.180000000004	30525.710000000003	32701.540000000005	57386.350000000006	62628.22000000001	55826.70000000001	62808.04000000001	27942.889999999996	59459.94	71042.96	78341.09	67273.31999999999	70343.81999999999	54288.84999999999	69634.12	31942.14	31661.100000000002	18327.239999999998	37296.56	30670.770000000008	37170.229999999996	60048.43	66540.99	63420.889999999985	53971.83	58721.28	54583.92	64933.21000000001	56525.56	52496.220000000016	60806.51	60350.64	62215.21	80188.76	89221.02	86818.66999999998	88171.00000000001	84187.42000000001	89862.54000000001	67382.66999999998	55678.73000000002	57032.25000000001	76023.94000000002	79371.85	56442.33	66681.68000000001	41218.77999999999	68173.03000000001	57916.67	71030.23000000001	61454.460000000014	40811.810000000005	77962.45000000001	71178.24999999999	46947.47	44057.2	61448.79	63847.040000000015	72116.93000000001	38045.689999999995	70651.13	63923.07	64307.110000000015	56486.130000000005	34935.93	75971.19000000002	56758.90000000002	67512.68000000001	72823.66000000002	66462.18000000002	68128.20000000001	42541.53999999999	37636.27999999999	72308.01999999999	61425.26000000001	63575.12000000001	63375.70000000001	55910.42	62580.740000000005	76921.76000000001	63121.11000000001	63340.11000000001	52557.409999999996	66496.93	52731.86	40905.060000000005	67838.55000000002	16278.460000000003	16270.269999999997	70812.20000000001	71979.54	56835.71	31777.289999999997	89510.64	51788.71	43324.840000000004	49618.02	14253.71	30610.87	54292.63	54508.0	68704.0	65766.3	54026.14	63050.53	68000.18	70658.41	70083.69000000002	74712.40000000001	77028.84999999999	77258.13000000002	39700.76000000001	52900.22	51302.05	37586.420000000006	43248.509999999995	48027.17999999999	52402.78000000001	87876.93000000001	25839.4	57658.270000000004	51152.58	60501.61	32800.58	47032.68	22034.38	25817.06	32752.04	26602.660000000003	52147.62000000001	83920.76999999999	41642.05	59744.05999999999	57052.799999999996	62285.53	72991.76000000001	87121.83	73349.40000000001	73675.69	80093.45999999999	82117.57999999999	41310.38	45830.02	35730.509999999995	40548.100000000006	45896.329999999994	48043.36000000001
