"total","year","disappearance","year.1","appearance","year.2","year_pair","MRS","tissue","group1","group2","group3"
0.0317460317460317,0,0.0264550264550265,0,0.00529100529100529,0,"-1-0",10.5042918454936,"Foregut",-1,1,1
0.107317073170732,3,0.0048780487804878,3,0.102439024390244,3,"0-3",25.7532188841202,"Foregut",-1,1,1
0.0867469879518072,6,0.0698795180722892,6,0.0168674698795181,6,"3-6",23.0579399141631,"Foregut",-1,1,1
0.0408163265306122,9,0.0255102040816327,9,0.0153061224489796,9,"6-9",4.51287553648069,"Foregut",-1,1,1
0.0335917312661499,12,0.020671834625323,12,0.0129198966408269,12,"9-12",3.41201716738197,"Foregut",-1,1,1
0.0260416666666667,24,0.0130208333333333,24,0.0130208333333333,24,"12-24",2.37768240343348,"Foregut",-1,1,1
0.138888888888889,48,0.0162037037037037,48,0.122685185185185,48,"24-48",12.8175965665236,"Foregut",-1,1,1
0.0963302752293578,72,0.0711009174311927,72,0.0252293577981651,72,"48-72",12.8583690987124,"Foregut",-1,1,1
0.0211640211640212,0,0.0158730158730159,0,0.00529100529100529,0,"-1-0",14.1781115879828,"Foregut",-1,1,2
0.0658227848101266,3,0.00759493670886076,3,0.0582278481012658,3,"0-3",16.931330472103,"Foregut",-1,1,2
0.0761670761670762,6,0.0393120393120393,6,0.0368550368550369,6,"3-6",6.63733905579399,"Foregut",-1,1,2
0.0625,9,0.04,9,0.0225,9,"6-9",8.54721030042919,"Foregut",-1,1,2
0.025974025974026,12,0.0233766233766234,12,0.0025974025974026,12,"9-12",4.82403433476395,"Foregut",-1,1,2
0.0671641791044776,24,0.00248756218905473,24,0.0646766169154229,24,"12-24",7.27467811158798,"Foregut",-1,1,2
0.0693069306930693,48,0.0618811881188119,48,0.00742574257425743,48,"24-48",17.225321888412,"Foregut",-1,1,2
0.0365535248041775,72,0.0261096605744125,72,0.010443864229765,72,"48-72",14.6030042918455,"Foregut",-1,1,2
0.0236842105263158,0,0.0131578947368421,0,0.0105263157894737,0,"-1-0",9.56223175965665,"Foregut",-1,1,3
0.0362694300518135,3,0.0077720207253886,3,0.0284974093264249,3,"0-3",4.5107296137339,"Foregut",-1,1,3
0.0924574209245742,6,0.024330900243309,6,0.0681265206812652,6,"3-6",14.0515021459227,"Foregut",-1,1,3
0.091358024691358,9,0.0814814814814815,9,0.00987654320987654,9,"6-9",18.519313304721,"Foregut",-1,1,3
0.0264550264550265,12,0.0105820105820106,12,0.0158730158730159,12,"9-12",16.7167381974249,"Foregut",-1,1,3
0.0675,24,0.0025,24,0.065,24,"12-24",18.4763948497854,"Foregut",-1,1,3
0.0742574257425743,48,0.0618811881188119,48,0.0123762376237624,48,"24-48",17.9678111587983,"Foregut",-1,1,3
0.0284237726098191,72,0.00775193798449612,72,0.020671834625323,72,"48-72",16.6952789699571,"Foregut",-1,1,3
0.0184696569920844,0,0.0105540897097625,0,0.0079155672823219,0,"-1-0",8.94420600858369,"Foregut",-1,1,4
0.0158730158730159,3,0.00793650793650794,3,0.00793650793650794,3,"0-3",2.19098712446352,"Foregut",-1,1,4
0.0183727034120735,6,0.0026246719160105,6,0.015748031496063,6,"3-6",3.12660944206009,"Foregut",-1,1,4
0.0261096605744125,9,0.0182767624020888,9,0.00783289817232376,9,"6-9",4.29828326180257,"Foregut",-1,1,4
0.0632911392405063,12,0.0151898734177215,12,0.0481012658227848,12,"9-12",6.00214592274678,"Foregut",-1,1,4
0.0717821782178218,24,0.0346534653465347,24,0.0371287128712871,24,"12-24",5.9549356223176,"Foregut",-1,1,4
0.0723192019950125,48,0.0448877805486284,48,0.027431421446384,48,"24-48",5.60944206008584,"Foregut",-1,1,4
0.0338541666666667,72,0.03125,72,0.00260416666666667,72,"48-72",10.4442060085837,"Foregut",-1,1,4
0.0703517587939698,0,0.0150753768844221,0,0.0552763819095477,0,"-1-0",11.9892703862661,"Foregut",-1,1,5
0.0609137055837563,3,0.0558375634517767,3,0.0050761421319797,3,"0-3",6.54077253218884,"Foregut",-1,1,5
0.0843672456575682,6,0.00744416873449132,6,0.0769230769230769,6,"3-6",11.4678111587983,"Foregut",-1,1,5
0.1270207852194,9,0.0508083140877598,9,0.0762124711316397,9,"6-9",11.8969957081545,"Foregut",-1,1,5
0.0939759036144578,12,0.0843373493975904,12,0.00963855421686747,12,"9-12",14.0343347639485,"Foregut",-1,1,5
0.0287206266318538,24,0.02088772845953,24,0.00783289817232376,24,"12-24",11.7854077253219,"Foregut",-1,1,5
0.122641509433962,48,0.00707547169811321,48,0.115566037735849,48,"24-48",10.3111587982833,"Foregut",-1,1,5
0.0921985815602837,72,0.0874704491725768,72,0.00472813238770686,72,"48-72",8.48497854077253,"Foregut",-1,1,5
0.0742574257425743,0,0.00495049504950495,0,0.0693069306930693,0,"-1-0",12.0901287553648,"Foregut",-1,1,6
0.0769230769230769,3,0.0744416873449131,3,0.00248138957816377,3,"0-3",6.12017167381974,"Foregut",-1,1,6
0.0412371134020619,6,0.00257731958762887,6,0.038659793814433,6,"3-6",6.96137339055794,"Foregut",-1,1,6
0.0488431876606684,9,0.0437017994858612,9,0.0051413881748072,9,"6-9",12.9914163090129,"Foregut",-1,1,6
0.0315789473684211,12,0.0105263157894737,12,0.0210526315789474,12,"9-12",6.90343347639485,"Foregut",-1,1,6
0.0456852791878173,24,0,24,0.0456852791878173,24,"12-24",7.01716738197425,"Foregut",-1,1,6
0.0298507462686567,48,0.0099502487562189,48,0.0199004975124378,48,"24-48",4.87124463519313,"Foregut",-1,1,6
0.0763546798029557,72,0.0566502463054187,72,0.0197044334975369,72,"48-72",14.9592274678112,"Foregut",-1,1,6
0.0804020100502513,0,0.0753768844221105,0,0.0050251256281407,0,"-1-0",9.05579399141631,"Foregut",-1,2,1
0.107317073170732,3,0.0048780487804878,3,0.102439024390244,3,"0-3",25.7532188841202,"Foregut",-1,2,1
0.0867469879518072,6,0.0698795180722892,6,0.0168674698795181,6,"3-6",23.0579399141631,"Foregut",-1,2,1
0.0408163265306122,9,0.0255102040816327,9,0.0153061224489796,9,"6-9",4.51287553648069,"Foregut",-1,2,1
0.0335917312661499,12,0.020671834625323,12,0.0129198966408269,12,"9-12",3.41201716738197,"Foregut",-1,2,1
0.0260416666666667,24,0.0130208333333333,24,0.0130208333333333,24,"12-24",2.37768240343348,"Foregut",-1,2,1
0.138888888888889,48,0.0162037037037037,48,0.122685185185185,48,"24-48",12.8175965665236,"Foregut",-1,2,1
0.0963302752293578,72,0.0711009174311927,72,0.0252293577981651,72,"48-72",12.8583690987124,"Foregut",-1,2,1
0.08,0,0.07,0,0.01,0,"-1-0",17.0987124463519,"Foregut",-1,2,2
0.0658227848101266,3,0.00759493670886076,3,0.0582278481012658,3,"0-3",16.931330472103,"Foregut",-1,2,2
0.0761670761670762,6,0.0393120393120393,6,0.0368550368550369,6,"3-6",6.63733905579399,"Foregut",-1,2,2
0.0625,9,0.04,9,0.0225,9,"6-9",8.54721030042919,"Foregut",-1,2,2
0.025974025974026,12,0.0233766233766234,12,0.0025974025974026,12,"9-12",4.82403433476395,"Foregut",-1,2,2
0.0671641791044776,24,0.00248756218905473,24,0.0646766169154229,24,"12-24",7.27467811158798,"Foregut",-1,2,2
0.0693069306930693,48,0.0618811881188119,48,0.00742574257425743,48,"24-48",17.225321888412,"Foregut",-1,2,2
0.0365535248041775,72,0.0261096605744125,72,0.010443864229765,72,"48-72",14.6030042918455,"Foregut",-1,2,2
