time,value,rank,std,r,groups,tissue,name
0,0.146778499,21.16666667,0.014019773,6,a,Midgut,Stability
12,0.14646932,18.66666667,0.00864646,6,a,Midgut,Stability
24,0.159853824,29,0.023872063,6,a,Midgut,Stability
3,0.152039182,24,0.016384676,6,a,Midgut,Stability
48,0.168067772,39.5,0.007009677,6,a,Midgut,Stability
6,0.160728287,22.33333333,0.04294169,6,a,Midgut,Stability
72,0.155906832,27.66666667,0.01734625,6,a,Midgut,Stability
9,0.151708425,21.66666667,0.020230125,6,a,Midgut,Stability
CK,0.203705203,43.5,0.046225312,6,a,Midgut,Stability
0,0.149402563,15.16666667,0.037781554,6,a,Hindgut,Stability
12,0.201603974,35.66666667,0.022288572,6,a,Hindgut,Stability
24,0.204901226,35.33333333,0.049123033,6,a,Hindgut,Stability
3,0.187567192,30.16666667,0.033237256,6,a,Hindgut,Stability
48,0.202807552,32.5,0.046159043,6,a,Hindgut,Stability
6,0.163057023,19,0.026272638,6,a,Hindgut,Stability
72,0.205849708,38.66666667,0.022226652,6,a,Hindgut,Stability
9,0.172843757,24.16666667,0.027534193,6,a,Hindgut,Stability
CK,0.155737116,16.83333333,0.053837711,6,a,Hindgut,Stability
0,0.154932116,7.833333333,0.01310133,6,c,Mixed gut,Stability
12,0.193675541,33.33333333,0.013518783,6,ab,Mixed gut,Stability
24,0.210197709,39.83333333,0.027725678,6,a,Mixed gut,Stability
3,0.170766261,17.33333333,0.014931263,6,bc,Mixed gut,Stability
48,0.206033808,36.33333333,0.036014914,6,a,Mixed gut,Stability
6,0.173170631,17.5,0.031509775,6,bc,Mixed gut,Stability
72,0.193483648,32,0.01653966,6,ab,Mixed gut,Stability
9,0.181293476,23.5,0.022590928,6,abc,Mixed gut,Stability
CK,0.21326411,39.83333333,0.031787861,6,a,Mixed gut,Stability
0,0.146955692,7.75,0.01742738,8,d,Whole gut,Stability
12,0.220204257,38.75,0.006777492,8,b,Whole gut,Stability
24,0.230681168,45.875,0.01085591,8,a,Whole gut,Stability
3,0.182149701,25.375,0.013777172,8,c,Whole gut,Stability
6,0.173700628,21.5,0.010396646,8,c,Whole gut,Stability
9,0.155079735,11.375,0.009154417,8,d,Whole gut,Stability
CK,0.235194461,48.875,0.010810472,8,a,Whole gut,Stability
