ASV_ID	pCK1	pCK2	pCK3	pCK4	pCK5	pCK6	pCK7	pCK8	Y01	Y02	Y03	Y04	Y05	Y06	Y07	Y08	Y31	Y32	Y33	Y34	Y35	Y36	Y37	Y38	Y61	Y62	Y63	Y64	Y65	Y66	Y67	Y68	Y91	Y92	Y93	Y94	Y95	Y96	Y97	Y98	Y121	Y122	Y123	Y124	Y125	Y126	Y127	Y128	Y241	Y242	Y243	Y244	Y245	Y246	Y247	Y248
ASV_25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	6	8	4	6	5	6	4	0	0	0	0	0	0	0	0
ASV_26	1811	1876	1644	1871	1815	1691	1922	1618	0	6	2	6	4	9	10	7	4	1	2	2	2	0	5	2	5	2	1	4	2	1	2	6	8	17	20	11	33	10	16	15	2414	2133	2125	2039	1906	2365	2912	1996	94	90	95	81	111	88	110	130
ASV_27	1	0	1	1	1	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	3	3	2	3	2	0	0	0	0	0	0	0	0
ASV_28	10	21	9	10	19	21	8	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	3	6	1	2	5	0	0	0	0	0	0	0	0
ASV_29	6	1	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	2	2	2	0	1	3	0	0	1	0	0	0	0	2
ASV_30	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_31	1	6	2	1	8	9	5	20	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	5	3	1	0	0	3	1
ASV_32	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	1	0	0	3	2	0	0	0	2	0	0	0	1	2	1	1	3	0	1	0	3	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	2	0
ASV_33	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ASV_34	5	8	3	10	6	5	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	2	4	5	3	5	2	0	0	0	0	0	0	0	0
ASV_35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_36	11	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ASV_37	50	21	20	8	7	21	8	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	5	7	0	7	5	10	5	4	8	1	10	4	6	10	3	6
ASV_38	235	79	3	2	77	161	33	26	47	117	356	64	603	30	54	3	14	718	510	694	8	448	59	127	352	112	269	305	23	529	14	215	12	4	40	42	6	6	36	51	14	37	96	4	31	34	6	54	5	18	42	4	8	31	3	11
ASV_39	5	6	2	1	11	7	3	3	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	3	0	0
ASV_40	4	6	4	4	7	6	4	1	8	1	0	0	0	4	1	4	0	0	2	2	2	0	1	2	6	1	0	1	1	0	3	3	25	21	20	14	21	17	23	28	1973	2307	1642	1496	1956	1857	2492	2175	371	374	535	342	413	601	339	291
