	CKqc1	CKqc2	CKqc3	CKqc4	CKqc5	CKqc6	CKmc1	CKmc2	CKmc3	CKmc4	CKmc5	CKmc6	CKhc1	CKhc2	CKhc3	CKhc4	CKhc5	CKhc6	0hqc1	0hqc2	0hqc3	0hqc4	0hqc5	0hqc7	0hmc1	0hmc2	0hmc3	0hmc4	0hmc5	0hmc7	0hhc1	0hhc2	0hhc3	0hhc4	0hhc5	0hhc7	3hqc1	3hqc2	3hqc3	3hqc4	3hqc5	3hqc6	3hmc1	3hmc2	3hmc3	3hmc4	3hmc5	3hmc6	3hhc1	3hhc2	3hhc3	3hhc4	3hhc5	3hhc6	6hqc1	6hqc2	6hqc3	6hqc4	6hqc5	6hqc6	6hmc1	6hmc2	6hmc3	6hmc4	6hmc5	6hmc6	6hhc1	6hhc2	6hhc3	6hhc4	6hhc5	6hhc6	9hqc1	9hqc2	9hqc3	9hqc4	9hqc5	9hqc6	9hmc1	9hmc2	9hmc3	9hmc4	9hmc5	9hmc6	9hhc1	9hhc2	9hhc3	9hhc4	9hhc5	9hhc6	12hqc1	12hqc2	12hqc3	12hqc4	12hqc5	12hqc6	12hmc1	12hmc2	12hmc3	12hmc4	12hmc5	12hmc6	12hhc1	12hhc2	12hhc3	12hhc4	12hhc5	12hhc6	24hqc1	24hqc2	24hqc3	24hqc4	24hqc5	24hqc6	24hmc1	24hmc2	24hmc3	24hmc4	24hmc5	24hmc6	24hhc1	24hhc2	24hhc3	24hhc4	24hhc5	24hhc6	48hqc1	48hqc2	48hqc3	48hqc4	48hqc5	48hqc6	48hmc1	48hmc2	48hmc3	48hmc4	48hmc5	48hmc6	48hhc1	48hhc2	48hhc3	48hhc4	48hhc5	48hhc6	72hqc1	72hqc2	72hqc3	72hqc4	72hqc5	72hqc6	72hmc1	72hmc2	72hmc3	72hmc4	72hmc5	72hmc6	72hhc1	72hhc2	72hhc3	72hhc4	72hhc5	72hhc6
ASV_11	2	1	22	0	4	0	0	12	94	2	4	2	0	2	0	3	3	9	2	0	5	8	0	3	2	1	91	6	22	6	13	2	17	11	2	3	32	2	0	8	7	7	0	5	8	46	4	62	7	10	2	105	46	225	11	23	6	33	8	22	74	22	8	46	4	12	47	12	28	13	41	23	13	57	19	52	18	115	21	39	15	1	22	27	16	371	6	293	202	431	0	260	1107	105	21	28	0	397	154	30	13	37	35	10637	3632	917	36	364	15	58	4	12	13	12	12	22	5	16	26	80	29	649	569	460	8460	67	1	0	3	4	4	4	1	16	2	1	5	1	131	50	49	67	30	32	1	3	89	16	4	0	0	7	10	13	10	0	23	103	601	598	725	519
ASV_12	211	148	94	146	69	147	91	111	67	136	102	32	1499	533	359	1491	1814	1701	42	31	61	164	207	164	90	73	164	204	120	199	4145	5191	3662	5581	4843	5234	19	68	220	119	59	70	52	111	122	126	127	131	2824	3475	4478	4541	5186	5764	54	108	106	75	38	100	113	73	57	149	63	99	4565	3174	5404	2088	2039	5816	165	314	50	126	137	84	102	60	21	77	192	59	1577	2319	681	2663	1751	3267	91	78	181	80	107	123	139	102	114	69	82	57	1087	998	2764	1918	745	2007	157	128	8	45	135	209	86	42	55	62	52	447	450	2488	135	994	1619	29	63	140	132	77	145	80	3805	2649	3392	4191	1153	2425	2210	271	5595	1971	2062	3900	80	83	33	48	99	61	4532	4485	1276	3749	5492	1530	2524	2613	2909	1930	2972	2270
ASV_13	1	1	1	0	1	5	0	2	1	0	1	2	1	1	3	2	1	1	3	2	1	1	3	2	2	0	4	3	1	2	0	27	5	2	4	3	0	1	1	3	0	1	1	2	1	1	1	2	3	6	10	7	1	4	2	4	1	1	5	5	2	4	1	3	0	0	7	4	3	6	0	4	1	0	0	1	2	0	0	2	0	2	0	1	7	0	0	3	0	2	4	1	1	1	0	2	3	3	2	4	0	0	1	1	2	5	0	0	1	1	838	77	19	3	5	0	8212	52	2	270	1	1	59	31	4	0	2530	0	1	0	2521	11	114	1	5	4	1015	9	84	7	5	6	1766	0	1	2	68	4	5	1	1	5	96	5	1	3	7	4	41	3	2	2
ASV_14	52	37	13	28	6	21	21	32	23	66	27	13	0	0	0	0	0	0	8	7	8	22	25	18	35	25	22	21	11	40	0	2	1	2	6	2	4	12	27	34	19	27	5	38	27	12	19	22	1	0	1	1	1	1	8	14	13	16	5	18	36	12	11	54	17	23	0	1	4	0	4	0	16	35	11	16	11	33	21	12	1	3	27	27	0	0	0	0	0	2	30	17	22	23	19	27	41	21	33	21	9	16	0	0	1	1	0	1	33	30	10	7	21	45	20	12	20	6	6	68	0	0	0	0	0	0	15	15	14	19	42	6	0	0	2	1	1	0	1	0	1	0	1	0	20	15	24	8	17	15	1	0	0	0	4	0	1	4	0	0	1	0
ASV_15	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_16	0	0	10	4	13	1	133	6	6	14	4	6	1	3	3	0	8	26	1	0	11	0	4	3	0	4	29	11	27	2	29	26	7	6	1	11	3	4	1	9	7	0	0	18	9	602	5	2	8	20	9	265	44	53	11	70	59	2	9	17	19	20	45	6	4	6	86	47	35	11	9	19	18	83	11	68	6	2	14	32	19	24	70	2	51	227	13	108	402	16	8	5	349	6	4	76	3	21	25	12	7	9	54	22	337	16	45	341	13	5	7	22	0	16	20	10	14	78	5	125	22	158	11105	975	167	3351	33	1	2	2	1	376	3	42	10	9	1	69	18	259	7	15	13	157	0	15	37	4	1	1	5	12	7	8	6	2	184	228	133	248	315	176
ASV_17	0	0	9	9	28	1	36	29	28	0	11	0	1	4	1	2	9	8	0	0	1	0	0	0	0	0	10	1	10	18	0	8	1	3	0	0	43	1	0	2	8	1	0	11	4	13	29	2	15	23	13	14	21	42	38	5	28	16	3	10	63	3	35	8	3	0	27	1	10	16	16	1	0	12	0	11	5	1	4	12	4	0	10	1	7	57	5	13	35	3	22	0	27	1	0	1	4	0	0	0	0	1	209	13	22	9	6	66	15	1	0	3	2	0	35	1	3	3	2	13	7	19	882	28	60	24	6	2	1	3	2	1540	1	22	14	15	0	179	13	222	9	6	4	583	5	0	3	4	1	2	6	5	3	0	0	2	33	29	33	34	49	7
ASV_18	1	246	651	11	350	342	247	334	2422	30	714	11	4	26	99	2	55	177	3	0	5	0	7	1	2	3	12	0	4	0	11	69	1	39	3	2	152	11	0	7	3	6	3	45	0	13	2	1	284	66	5	78	50	285	150	2	21	9	3	10	976	18	13	0	6	1	224	72	42	26	24	33	4	2	0	12	1	2	6	10	5	7	44	0	15	56	20	55	40	22	106	6	9	3	15	1	25	5	0	0	0	2	300	134	67	39	22	192	4	3	4	6	8	14	4	2	1	9	3	116	15	43	125	177	62	77	2	5	6	4	1	2	3	5	0	3	1	12	18	60	49	29	18	48	2	10	5	1	8	2	13	33	7	8	11	0	23	33	46	35	43	55
ASV_19	0	0	57	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	17	0	0	7	2	0	9	0	1	0	0	0	2	0	0	0	5	1	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	3	10	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	10	0	0	0	0	0	0	13	40	0	0	0	11	1	0	0	0	0	0	0	0	0	0	1	0	2	2	27	1	23	2	21	0	0	0	0	3	0	0	0	0	0	0	6	0	0	0	0	1	1	11	4	0	0	0	0	0	0	0	0	0
ASV_20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	186	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
