"","%IncMSE","%IncMSE.pval","IncNodePurity","IncNodePurity.pval","ASV_ID"
"ASV_5",5.36430946915575,0.0099009900990099,104.062625768318,0.0099009900990099,"ASV_5"
"ASV_4482",4.51974245964309,0.0099009900990099,116.883040848195,0.0099009900990099,"ASV_4482"
"ASV_1638",3.45067947823678,0.0099009900990099,49.1027079070584,0.0099009900990099,"ASV_1638"
"ASV_4003",2.78221297856651,0.0297029702970297,19.3037397357307,0.0297029702970297,"ASV_4003"
"ASV_25",2.71582079403305,0.0198019801980198,57.2419564464687,0.0297029702970297,"ASV_25"
"ASV_3798",2.59833725893276,0.0099009900990099,59.4782677715164,0.0099009900990099,"ASV_3798"
"ASV_5539",2.41389062046843,0.0099009900990099,109.831577416193,0.0099009900990099,"ASV_5539"
"ASV_3256",2.23770549341121,0.0099009900990099,63.1354713212297,0.0099009900990099,"ASV_3256"
"ASV_983",1.91397370178624,0.0198019801980198,12.4276076306518,0.0198019801980198,"ASV_983"
"ASV_3583",1.65106514909752,0.0099009900990099,5.76563620136734,0.0099009900990099,"ASV_3583"
"ASV_2274",1.63245381296962,0.0198019801980198,2.99934387959957,0.0495049504950495,"ASV_2274"
"ASV_978",1.35431473459064,0.0198019801980198,20.4957772796521,0.0198019801980198,"ASV_978"
"ASV_540",1.31559220424226,0.0297029702970297,5.89205016968714,0.0297029702970297,"ASV_540"
"ASV_1895",1.29440864831148,0.0198019801980198,9.64951484968316,0.0396039603960396,"ASV_1895"
"ASV_1217",1.01473583897359,0.0099009900990099,2.29759482855468,0.0396039603960396,"ASV_1217"
"ASV_1541",1.00100150250438,0.0297029702970297,0.892017284444444,0.0396039603960396,"ASV_1541"
"ASV_1873",1.00100150250438,0.0099009900990099,5.1124351534717,0.0198019801980198,"ASV_1873"
"ASV_409",0.479990683998818,0.0396039603960396,1.06885488419533,0.0396039603960396,"ASV_409"
