"Group.1","x"
1,0.3625
2,0.308333333333333
3,0.279166666666667
4,0.25
6,0.1875
9,0.175
13,0.1625
20,0.15
30,0.154166666666667
45,0.154166666666667
68,0.154166666666667
102,0.158333333333333
153,0.154166666666667
230,0.175
345,0.179166666666667
517,0.175
776,0.170833333333333
1164,0.1875
1746,0.183333333333333
2619,0.2
