"","CK","0h","3h","6h","9h","12h","24h","48h","72h"
"CK",0,0.182815898754202,0.182815898754202,0.182815898754202,0.182815898754202,0.182815898754202,0.182815898754202,0.182815898754202,0.182815898754202
"0h",0.132531992429165,0,0.132531992429165,0.132531992429165,0.132531992429165,0.132531992429165,0.132531992429165,0.132531992429165,0.132531992429165
"3h",0.172465637761268,0.172465637761268,0,0.172465637761268,0.172465637761268,0.172465637761268,0.172465637761268,0.172465637761268,0.172465637761268
"6h",0.170022065908955,0.170022065908955,0.170022065908955,0,0.170022065908955,0.170022065908955,0.170022065908955,0.170022065908955,0.170022065908955
"9h",0.276484583682527,0.276484583682527,0.276484583682527,0.276484583682527,0,0.276484583682527,0.276484583682527,0.276484583682527,0.276484583682527
"12h",0.247976245405551,0.247976245405551,0.247976245405551,0.247976245405551,0.247976245405551,0,0.247976245405551,0.247976245405551,0.247976245405551
"24h",0.456309186386307,0.456309186386307,0.456309186386307,0.456309186386307,0.456309186386307,0.456309186386307,0,0.456309186386307,0.456309186386307
"48h",0.32488676704615,0.32488676704615,0.32488676704615,0.32488676704615,0.32488676704615,0.32488676704615,0.32488676704615,0,0.32488676704615
"72h",0.272372728670929,0.272372728670929,0.272372728670929,0.272372728670929,0.272372728670929,0.272372728670929,0.272372728670929,0.272372728670929,0
