"","CK_qc","0h_qc","3h_qc","6h_qc","9h_qc","12h_qc","24h_qc","48h_qc","72h_qc"
"CK_qc",0,0.253100767778798,0.253100767778798,0.253100767778798,0.253100767778798,0.253100767778798,0.253100767778798,0.253100767778798,0.253100767778798
"0h_qc",0.183135011733497,0,0.183135011733497,0.183135011733497,0.183135011733497,0.183135011733497,0.183135011733497,0.183135011733497,0.183135011733497
"3h_qc",0.256740383634323,0.256740383634323,0,0.256740383634323,0.256740383634323,0.256740383634323,0.256740383634323,0.256740383634323,0.256740383634323
"6h_qc",0.217508098663402,0.217508098663402,0.217508098663402,0,0.217508098663402,0.217508098663402,0.217508098663402,0.217508098663402,0.217508098663402
"9h_qc",0.234427609427609,0.234427609427609,0.234427609427609,0.234427609427609,0,0.234427609427609,0.234427609427609,0.234427609427609,0.234427609427609
"12h_qc",0.232643671564126,0.232643671564126,0.232643671564126,0.232643671564126,0.232643671564126,0,0.232643671564126,0.232643671564126,0.232643671564126
"24h_qc",0.271506096316702,0.271506096316702,0.271506096316702,0.271506096316702,0.271506096316702,0.271506096316702,0,0.271506096316702,0.271506096316702
"48h_qc",0.220800173451689,0.220800173451689,0.220800173451689,0.220800173451689,0.220800173451689,0.220800173451689,0.220800173451689,0,0.220800173451689
"72h_qc",0.238717669115396,0.238717669115396,0.238717669115396,0.238717669115396,0.238717669115396,0.238717669115396,0.238717669115396,0.238717669115396,0
