"","pCK","p0h","p3h","p6h","p9h","p12h","p24h"
"pCK",0,0.108860720580399,0.108860720580399,0.108860720580399,0.108860720580399,0.108860720580399,0.108860720580399
"p0h",0.0391877075050211,0,0.0391877075050211,0.0391877075050211,0.0391877075050211,0.0391877075050211,0.0391877075050211
"p3h",0.0790632557281633,0.0790632557281633,0,0.0790632557281633,0.0790632557281633,0.0790632557281633,0.0790632557281633
"p6h",0.0588532913882854,0.0588532913882854,0.0588532913882854,0,0.0588532913882854,0.0588532913882854,0.0588532913882854
"p9h",0.0266464626798377,0.0266464626798377,0.0266464626798377,0.0266464626798377,0,0.0266464626798377,0.0266464626798377
"p12h",0.096284891585031,0.096284891585031,0.096284891585031,0.096284891585031,0.096284891585031,0,0.096284891585031
"p24h",0.0801289605279338,0.0801289605279338,0.0801289605279338,0.0801289605279338,0.0801289605279338,0.0801289605279338,0
