"ASV_ID","Kingdom","Phylum","PC","Class","Order","Family","Genus","Species","last"
"ASV_4518","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","k_Bacteria"
"ASV_4498","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria","Chromatiales","Unassigned","Unassigned","Unassigned","o_Chromatiales"
"ASV_4507","Bacteria","Bacteroidetes","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Saprospiraceae","Unassigned","Unassigned","f_Saprospiraceae"
"ASV_4530","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","k_Bacteria"
"ASV_4524","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","k_Bacteria"
"ASV_4514","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Unassigned","g_Pseudomonas"
"ASV_4526","Bacteria","Bacteroidetes","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Saprospiraceae","Aureispira","Aureispira_maritima","s_Aureispira_maritima"
"ASV_4504","Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Unassigned","Unassigned","f_Rhodobacteraceae"
"ASV_4521","Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned","c_Alphaproteobacteria"
"ASV_4505","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Unassigned","Unassigned","f_Moraxellaceae"
"ASV_4522","Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Unassigned","Unassigned","f_Rhodobacteraceae"
"ASV_4517","Bacteria","Candidatus_Saccharibacteria","Candidatus_Saccharibacteria","Unassigned","Unassigned","Unassigned","Saccharibacteria_genera_incertae_sedis","Unassigned","c_Unassigned"
"ASV_4533","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","k_Bacteria"
"ASV_4535","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","a_ASV_4535"
"ASV_4516","Bacteria","Chloroflexi","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","Unassigned","Unassigned","f_Anaerolineaceae"
"ASV_4529","Bacteria","Actinobacteria","Actinobacteria","Actinobacteria","Acidimicrobiales","Iamiaceae","Aquihabitans","Aquihabitans_daechungensis","s_Aquihabitans_daechungensis"
"ASV_4513","Bacteria","Firmicutes","Firmicutes","Bacilli","Bacillales","Unassigned","Unassigned","Unassigned","o_Bacillales"
"ASV_4519","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus","Unassigned","g_Haemophilus"
"ASV_4548","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","k_Bacteria"
"ASV_4537","Bacteria","Verrucomicrobia","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Unassigned","Unassigned","f_Verrucomicrobiaceae"
"ASV_4536","Bacteria","Bacteroidetes","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Saprospiraceae","Unassigned","Unassigned","f_Saprospiraceae"
"ASV_4520","Bacteria","Actinobacteria","Actinobacteria","Actinobacteria","Acidimicrobiales","Acidimicrobiaceae","Ilumatobacter","Ilumatobacter_fluminis","s_Ilumatobacter_fluminis"
"ASV_4546","Bacteria","Fusobacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","Leptotrichia","Leptotrichia_hongkongensis","s_Leptotrichia_hongkongensis"
"ASV_4541","Bacteria","Bacteroidetes","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Saprospiraceae","Unassigned","Unassigned","f_Saprospiraceae"
"ASV_4525","Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Unassigned","Unassigned","f_Rhodobacteraceae"
"ASV_4527","Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Unassigned","Unassigned","f_Rhodobacteraceae"
"ASV_4547","Bacteria","Bacteroidetes","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Unassigned","Unassigned","f_Flavobacteriaceae"
"ASV_4515","Bacteria","Actinobacteria","Actinobacteria","Actinobacteria","Actinomycetales","Microbacteriaceae","Unassigned","Unassigned","f_Microbacteriaceae"
